METADATA,,,,,,,,,,,
title.en,ITU Carrier Codes ,,,,,,,,,,
,,,,,,,,,,,
DATA,type=array,,,,,,,,,,
country_name,country_code,organization,address_line_1,address_line_2,address_line_3,address_line_4,code,contact_person,tel,fax,email
Australia ,AUS,Nextgen Networks Pty Ltd.,12 Help Street,"CHATSWOOD, NSW 2067",,,NEXGEN,Paul Sacks,+61 2 9414 3500,+61 2 9414 3550,
Australia ,AUS,Ntl Telecommunications Pty. Ltd.,"Level 2, 655 Pacific Highway",ST. LEONARDS NSW 2065,,,NTLA,David Green,+61 2 8425 4666,+61 2 8425 4641,
Australia ,AUS,Opentec Pty Ltd.,"Unit A2, 6-8 Lyon Park Road","NORTH RYDE, NSW 2113",,,OPENTE,Alan Conder,+61 2 9878 1744,+61 2 9878 1755,
Australia ,AUS,Optus Ltd.,PO Box 1,SYDNEY NSW 2059,,,OPTUS,Rob Gillan,+61 2 9342 8170,+61 2 9342 7766,
Australia ,AUS,Oz TelecomPty Ltd.,"Level 1, 130 Bourke Street","MELBOURNE, VIC 3000",,,OZTEL,Stephen Scott,+61 3 9663 8177,+61 3 9663 8939,
Australia ,AUS,Pahth Telecommunications Ltd.,1195 Hay Street,"WEST PORTH, WA 6872",,,PAHTH,Peter Hanley,+61 8 9321 9321,+61 8 9321 2689,
Australia ,AUS,Powertel Ltd.,"Level 11, 55 Clarence Street","SYDNEY, NSW 2000",,,PWRTEL,Paul Teng,+61 2 8264 3835,+61 2 8264 4588,
Australia ,AUS,Qala (Australia) Pty. Ltd.,"Level 3, 15 Castleraegh Street","SYDNEY, NSW 2000",,,QALA,Sam Rahme,+61 2 8226 9911,+61 2 8226 9900,
Australia ,AUS,Reach Networks Australia Pty Ltd,"Floor 7, 363 Oxford Street","PADDINGTON, NSW 2021",,,REACH,Wayne Grundy,+61 2 8289 0010,+61 2 9339 6982,wayne.grundy@reach.com
Australia ,AUS,RequestDSL Pty Ltd.,"Level 12, 461 Bourke Street","MELBOURNE, VIC 3000",,,REQEST,Gary Mc Laren,+61 3 8628 2740,+61 3 9670 6867,
Australia ,AUS,SCCL Australia Ltd.,"Suite 781, No. 48 Par-La-Ville Road",HAMILTON HM11 - BERMUDA,,,SCCLA,Ernie Wan,+1 441 296 5659,+1 441 296 5929,
Australia ,AUS,Snowy Net Pty Ltd.,26B Bombala Street,"COOMA, NSW 2630",,,SNOWYN,Adrian Blake,+61 2 6452 5555,+61 2 6452 4317,adrian@snowy.net.au
Australia ,AUS,Soul Pattinson Telecommunications Pty. Ltd.,11-17 Mosbri Crescent,NEWCASTLE NSW 2300,,,SPT,Scott MacGregor,+61 2 4929 2933,+61 2 4929 6111,
Australia ,AUS,Telecasters Communications Pty Ltd.,"Level 8, 1 Elizabeth Plaza","NORTH SYDNEY, NSW 2060",,,TCPL,Andrew Werro,+61 2 9922 1011,+61 2 9922 1033,
Australia ,AUS,Telstra Corporation Ltd.,PO Box 7000,SYDNEY NSW 2001,,,TELSTR,John Pellicano,+61 2 9287 5678,+61 2 9287 5617,
Australia ,AUS,TransACT Capital Communications Pty. Ltd.,"Level 3, TransACT House, 470 Northbourne Aven",DICKSON ACT 2602,,,TRANSA,Dianne Evans,+61 2 6229 8089,+61 2 6229 8011,
Australia ,AUS,Uecomm Operations Pty Ltd.,"Level 13, 101 Collins Street",MELBOURNE 3000,,,UECOMM,Lyndon Goulding,+61 3 9222 9222,+61 3 9222 9233,
Australia ,AUS,Victorian Rail Track,"Level 17, 589 Collins Street","MELBOURNE, VIC 3000",,,VICTRK,Tony Canavan,+61 3 9619 8842,+61 3 9619 8851,
Australia ,AUS,Vodafone Australia Pty Ltd.,799 Pacific Highway,"CHATSWOOD, NSW 2067",,,VFONE,Julian Gorman,+61 2 9415 7000,+61 2 9415 7188,julian.gorman@vodafone.com.au
Australia ,AUS,Windytide Pty Ltd.,"Level 29, AAP Centre, 259 George Street","SYDNEY, NSW 2000",,,AUSTAR,Regulatory Officer,+61 2 9394 9845,+61 2 9394 9850,
Australia ,AUS,XYZed Pty. Ltd.,95 Nicholson Street,ST. LEONARDS NSW 2065,,,XYZED,Amanda Choy,+61 2 9775 7608,+61 2 9775 7780,
Austria ,AUT,CyberTron Austrian Digital Telekom GmbH,Davidgasse 94,A-1100 WIEN,,,CYBER,Christian Forstner,+43 1 919 29,+43 1 919 29 1209,
Austria ,AUT,Etel Austria AG,"Technopark Thomas A., Edison Str. 1",A-7000 EISENSTADT,,,ETELAT,Fritz Wildt,+43 2682 998 98 5423,,wildt@etel.at
Austria ,AUT,European Telecom International AG,Floragasse 7,A-1040 WIEN,,,ET1007,Markus Kollermann,+43 1 5060 1200,+43 1 5060 1999 200,mkollermann@europeantelecom.at
Austria ,AUT,FaciliCom International GmbH,Helligenstadter Lande 27c,A-1190 WIEN,,,FCI,Ing. Franz Bader,+43 1 360 19 1120,+43 1 360 19 2222,franz.bader@eu.facilicom.com
Austria ,AUT,Max.Mobil Telekommunikation Service GmbH,Kelsenstrasse 5-7,A-1030 WIEN,,,MAX676,Christian Walzel,+43 1 79585 6448,+43 1 79585 6535,christian.walzel@maxmobil.at
Austria ,AUT,MCN Millennium Communication Network,Handelskai 94-96,A-1200 WIEN,,,MCNAT,Andreas Harti,+43 1 20700 1010,+43 1 20700 1099,andreas.hartl@mcn-tower.com
Austria ,AUT,Mobilkom Austria AG & Co. Kg.,Obere Donaustrasse 29,A-1020 WIEN,,,AUTMK,Dr Werner Wiedermann,+43 1 33161 6000,+43 1 33161 6009,w.wiedermann@mobilkom.at
Austria ,AUT,RSLCom Austria AG,Technopark Eisenstadt,A-7000 EISENSTADT,,,RSLCOM,Peter Ziegelwanger,+43 2682 716 5250,+43 2682 716 5279,pz@rslcom.at
Austria ,AUT,Tele2 UTA Telecommunication GmbH,Donau-City-Str. 11,A-1220 WIEN,,,UTA,Werner Augustin,+43 1 9009 3426,+43 1 9009 93426,werner.augustin@uta.at
Austria ,AUT,Telekom Austria Aktiengesellschaft,Postgasse 8,A - 1010 WIEN,,,AUTTA,Martin Fröhlich,+43 59059 1 16002,+43 59059 1 16009,martin.froehlich@telekom.at
Austria ,AUT,Well.Com Data Highway Burgenland GmbH,Technologiezentrum,A-7000 EISENSTADT,,,WELLCO,Wolfgang Eder,+43 2682 704 3345,+43 2682 704 3314,w.eder@wellcom.at
Azerbaijani Republic ,AZE,Ministry of Communications,33 Azerbaijan Avenue,AZ 1000 BAKU,,,MOC,J. Jafarov,+994 12 498 1816,+994 12 498 4285,behm@bakinter.net
Bahamas (Commonwealth of the) ,BHS,Bahamas Telecommunications Company Ltd.,"John F. Kennedy Drive, PO Box N-3048",NASSAU,,,BATLCO,,+1 242 323 4911,+1 242 326 0880,
Bahrain (Kingdom of) ,BHR,Bahrain Telecommunications Company,"PO Box 14, Building 1096 Road 1425",HAMALA 1014,,,BHBTC,Ebrahim Al Haddad,+973 17 885510,+973 17 532116,mi2@btc.com.bh
Bangladesh (People's Republic of) ,BGD,Bangladesh Telegraph and Telephone Board,Central Office,DHAKA 1000,,,BTTB,,+880 2 831500,+880 2 832577,
Barbados ,BRB,Cable and Wireless BET Ltd.,PO Box 32,BRIDGETOWN,,,BET,"George D. Miller, N.O.",+1 246 292 6000,+1 246 427 5808,
Belarus (Republic of) ,BLR,Belcel,"5, Zolotaya Gorka",MINSK 220005,,,BELCEL,"Vladimir Getmanov, GM",+375 176 760600,+375 176 760333,
Belarus (Republic of) ,BLR,The Republican Association BELTELECOM,"6, Engels Street",MINSK 220030,,,BTCOM,Sidorenko Lily M.,+375 17 222 2685,+375 17 227 4422,
Belgium ,BEL,BELGACOM société anonyme de droit public,Boulevard du Roi Albert II 27,B-1020 BRUXELLES,,,BGACOM,Eric Thonnard,+32 2 202 7707,+32 2 202 7989,eric.thonnard@belgacom.be
Belgium ,BEL,B-Telecom,"Avenue de la Porte de Hal, 40",B-1060 BRUXELLES,,,B,Ir. Philippe Claes,+32 2 528 3610,+32 2 528 3719,philippe.claes@b-rail.be
Belgium ,BEL,Codenet,Avenue Ariane 7,B-1200 BRUXELLES,,,CDN,Bart Pauwels,+32 2 473 7488,+32 2 473 7950,bart.pauwels@codenet.be
Belgium ,BEL,FaciliCom International Belgium,Excelsiorlaan 89,B-1930 ZAVENTEM,,,FCI,Elisa Hau,+32 2 401 1700,+32 2 401 1701,
Belgium ,BEL,Ministerie v/d Vlaamse Geneenschep,Electiciteit en Mechanica Antwerpen,"Copernicuslaan 1, 2018 ANTWERPEN",,,FLA,Willy Frans,+32 3 224 6600,+32 3 224 6605,willy.frans@lin.vlaanderen.be
Belgium ,BEL,Telenet Operaties NV,Liersesteerwerg 4,B-2800 MECHELEN,,,TNTBE,Philippe Ronsse,+32 15 333 561,+32 15 333 999,philippe.ronsse@telenet.be
Belgium ,BEL,WorldXchange Communications BVBA,Lozenberg 18,B-1932 ST-STEVENS-WOLUWE,,,WXCBEL,Barry Inskip,+32 2 711 0349,+32 2 721 3332,barry.inskip@worldxchange.com
Belize ,BLZ,Belize Telecommunications Ltd. (BTL),"St. Thomas Street, PO Box 523",BELIZE CITY,,,BTL,Ernesto Torres,+501 22 32868,+501 22 30122,e.torres@btl.net
Belize ,BLZ,International Telecommunication Ltd.,PO Box 1246,BELIZE CITY,,,ITL,Roberto Young,+501 22 53464,+501 22 54014,eyoung@geminicom.net
Benin (Republic of) ,BEN,Benin Telecom SA,,,,,OPT,,+229 21312045,+229 21313843,
Bermuda ,BMU,Cable and Wireless plc,"PO Box HM151, 20 Church Street",HAMILTON HMAX,,,BDEVTP,Jerri Graham,+1 441 297 7101,+1 441 295 4964,
Bhutan (Kingdom of) ,BTN,Bhutan Telecommunications Corporation,P.O. Box 134,THIMPHU,,,BTNTEL,Thinley Dorji,+975 2 322346,+975 2 324312,thinley@telecom.net.bt
Bolivia (Plurinational State of) ,BOL,Empresa Nacional de Telecomunicaciones (ENTEL),"CP 4450,Calle Federico Zuazo No. 1771",LA PAZ,,,ENTEL,Sr. Richard Sandoval,+591 2812 2090,+591 2812 2339,
Bosnia and Herzegovina ,BIH,BH Telecom,Pehlivanusa 3,71000 SARAJEVO,,,PTTBIH,,+387 33 446774,+387 33 471410,
Bosnia and Herzegovina ,BIH,Telekom Srpske,Kralja Petra I Karadjordjevica 93,78000 BANJA LUKA,,,MTELBH,Ljiljana Mihajlovic,+387 51 210 537,+387 51 217 975,lj.mihajlovic@telekomsrpske.com
Brazil (Federative Republic of) ,BRA,Empresa Brasiliera de Telecomunicaçôes S.A. (EMBRATEL),"Av. Presidente Vargas, 1012",20179-900 RIO DE JANEIRO,,,EBTLBR,Dalmo de Souza e Silva,+55 21 2121 8340,+55 21 2121 3247,dalmo@embratel.com.br
British Virgin Islands ,VGB,Cable and Wireless (W.I.) Ltd.,PO Box 440,"ROADTOWN, TORTOLA",,,CWBVI,"Vance Lewis, Manager Eng.",+1 284 494 4444,+1 284 494 2100,
Brunei Darussalam ,BRN,Telekom Brunei Berhad,"Old Airport, Berakas",BANDAR SERI BEGAWAS 2051,,,JTB,H.J. Ibrahim Bin Mat Yassin,+673 2 382382,+673 2 381585,
Bulgaria (Republic of) ,BGR,"Compagnie des Télécommunications Bulgares,",8 Totleten Blvd.,1606 SOFIA,,,BTC,Irina Stancheva,+359 2 889330,+359 2 805640,
Burkina Faso ,BFA,Office national des télécommunications (ONATEL),"BP 10000, Ave. Nelson Mandela",OUGADOUGOU 01,,,ONATEL,Moussa SANFO,+226 50 336476,+226 50 310331,sanfo.moussa@onatel.bf
Burundi (Republic of) ,BDI,Office national des télécommunications (ONATEL),"BP 60, Avenue du Commerce 67",BUJUMBURA,,,ONATEL,Nizigiyimana Salvator,+257 22 21 85 88,+257 22 22 69 17,dgonatel@onatel.bi
Cambodia (Kingdom of) ,KHM,Ministry of Posts and Telecommunications of Cambodia,Corner Street No. 13 & 102,PHNOM PENH,,,MPTC,Koy Kim Sea,+855 23 426818,+855 23 426011,
Cameroon (Republic of) ,CMR,Cameroon Telecommunications (CAMTEL),BP 1571,YAOUNDE,,,ITLCAM,Nguiamba Nloutsiri Emmanuel,+237 2223 4065,+237 2223 0303,
Canada ,CAN,Bell Canada,160 Elgin Street,"OTTAWA, ONTARIO K1G 3J4",,,SCNM,Sambasivan,,+1 613 781 6454,
Canada ,CAN,North American Gateway Inc.,"1 Yonge Street, Suite 1801","Toronto, ONTARIO M5E 1W7",,,NAGWAY,Michael J. Warwick,+1 416 364 8046,+1 416 364 9482,
Canada ,CAN,Télécom Québec Inc.,350-C Rue Notre-Dame,NOTRE-DAME-DU-BON-CONSEIL J0H 1X0,,,TQC,Isis Thiago,+1 450 799 2924,+1 450 799 0808,ithiago@guevremont.com
Canada ,CAN,Téléglobe Canada ULC,1000 de la Gauchetiére Ouest,MONTREAL (Quebec) H3B 4K5,,,TGB,Patrick Bibeau,+1 514 868 8442,+1 514 868 7031,
Canada ,CAN,Téléphone Guèvremont Inc.,885 Marquette,"STE-ROSALIE, QC J0H 1X0",,,TGI,Isis Thiago,+1 450 799 2924,+1 450 799 0808,ithiago@guevremont.com
Cape Verde (Republic of) ,CPV,Cabo Verde Telecom Sarl,"C. P. 220, Largo Desastre da Assistencia",Varzea - PRAIA,,,CVT,Comissâo Executiva,+238 261 7222,+238 261 3725,gcacvt@cvtelecom.cv
Cayman Islands ,CYM,Cable and Wireless (C.I.) Ltd.,PO Box 293 GT,GRAND CAYMAN,,,CW,"Rudy Ebanks, O.M.",+1 345 914 0345,+1 345 949 7070,
Central African Republic ,CAF,Société centrafricaine des télécommunications (SOCATEL),BP 939,BANGUI,,,SOCATL,Guillocheau J.M.,+236 21 616793,+236 21 615048,
Chad (Republic of) ,TCD,Société des télécommunications du Tchad (SOTEL Tchad),BP 1132,N'DJAMENA,,,TIT,,+235 2251 5782,+235 2251 5066,
Channel Islands: Jersey ,GBJ,Jersey Telecoms,PO Box 53,"ST. HELIER, JE4 8PB",,,JT,Robin Dodkins,+44 1534 882273,+44 1534 882243,
Chile ,CHL,Empresa Nacional de Telecomunicaciones S.A. (ENTEL-CHILE),"Av. Andres Bello 2687, Piso 4","Las Condes, SANTIAGO",,,ENTEL,Monica Lipari Valdes,+56 2 690 2613,+56 2 690 2868,
Chile ,CHL,Telefónica CTC Chile,"4499 Apoquindo, Piso 10",SANTIAGO,,,CTCMDO,Edmundo Crespo,+56 2 330 9601,+56 2 330 9700,
China (People's Republic of) ,CHN,China Mobile Communications Corporation,53A Yibianmennei Avenue,"XUANWU District, BEIJING 100053",,,CMCC,Shao Junming,+86 10 6360 0425,+86 10 6360 0145,
China (People's Republic of) ,CHN,China Netcom,"35 Financial Street, Xicheng District",BEIJING 100032,,,CNC,Zhiwei Yang,+86 10 8809 3588,+86 10 8809 1442,
China (People's Republic of) ,CHN,China Railway Communication Co. Ltd.,"21F Yuetan Mansion, Xicheng District",BEIJING 100045,,,CRC,Zhao Yuehai,+86 10 6324 3412,+86 10 6349 0646,
China (People's Republic of) ,CHN,China Telecommunications Corporation (China Telecom),"33, ErLong Road, Xi Cheng District",BEIJING 100032,,,CT,Gu Wenjie,+86 10 6602 7150,+86 10 6602 7219,
China (People's Republic of) ,CHN,China United Teleommunications Corporation (UNICOM),18 Jianguomennei Avenue,BEIJING 100005,,,CHU,Zou Xin,+86 10 6518 1800,+86 10 6518 1800,
China (People's Republic of) ,CHN,Ji Tong Network Communications Co. Ltd.,88 West Changan Avenue,BEIJING 100031,,,JITONG,Yao Lu Kang,+86 10 8391 3115,+86 10 8391 3140,
Colombia (Republic of) ,COL,Empresa Nacional de Telecomunicaciones,"Calle 23, No. 13-49 Piso 12",BOGOTA DC,,,TELECO,Alfonso Gómez Palacio,+57 1 561 0737,+57 1 561 3174,alfonso.gomez@telecom.net.co
Colombia (Republic of) ,COL,Empresas Públicas de Medellín E.S.P.,"Carrera 58, No. 42-125, Piso 6",MEDELLIN,,,EEPPM,Martha Elena Gonzalez D.,+57 1 600 8000,+57 1 601 9514,mgonzald@eeppm.com
Colombia (Republic of) ,COL,Empressa de Telecomunicaciones de Santa Fe de Bogotá SAESP-ETB,Carrera 8 #20-56 piso 9,SANTAFE DE BOGOTA,,,ETSF,Sergio Regueros Swonkin,+57 1 341 4233,+57 1 336 4142,sereguer@etb.com.co
Colombia (Republic of) ,COL,EPM-Bogotá S.A. E.S.P.,"Carrera 14, No. 30-93",SANTAFE DE BOGOTA,,,EPMBOG,Fernando Panesso Serna,+57 1 600 8000,+57 1 601 9514,fpanesso@epmbog.com
Colombia (Republic of) ,COL,Orbitel SAESP,Carrera 431 sur 188 piso 2,MEDELLIN (Antioquia),,,ORBIT,Alejandro Ceballos Zuluaga,+57 4 325 1502,+57 4 314020,aceballos@orbitel.com
Comoros (Union of the) ,COM,Société nationale des télécommunications (Comores Telecom),BP 5000,MORONI,,,SNPT,,+269 773 0610,+269 773 1079,
Congo (Republic of the) ,COG,Société des télécommunications du Congo (SOTELCO),Avenue Patrice Lumumba,BRAZZAVILLE,,,ONPT,,+242 283 1371,+242 283 7546,
Cook Islands ,COK,Telecom Cook Islands Ltd.,PO Box 106,RAROTONGA,,,TCI,,+682 29470,+682 20990,
Côte d'Ivoire (Republic of) ,CIV,Société Côte d'Ivoire-Telecom (CI-TELECOM),BP 275,ABIDJAN 17,,,CITEL,Brou N'Gbla,+225 2034 4805,+225 2021 2828,
Croatia (Republic of) ,HRV,Croatian Telecom (HT - Hrvatske telecomunikacije dd.),Andrige Hebranga 32-34,HR-10001 ZAGREB,,,HT,Ivan Car,+385 1 491 2300,+385 1 491 2333,ivan.car@ht.hr
Croatia (Republic of) ,HRV,T-Mobile Croatia LLC,Ulica Grada Vukovara 23,HR-10000 ZAGREB,,,TMHR,Bernard Kovacevic,+385 1 498 2094,+385 1 498 2044,bernard.kovacevic@t-mobile.hr
Croatia (Republic of) ,HRV,VIP-NET d.o.o,Iblerov Trg 10,10 000 ZAGREB,,,VIPNET,Ing. Smiljan Corkovic,+385 1 469 1122,+385 1 469 1109,s.corkovic@vipnet.hr
Cuba ,CUB,Empresa de Radiocomunicación y Radiodifusión de Cuba,Ave Independencia y 19 de Mayo,LA HABANA 10600,,,RADCUB,Jorge Martinez Abreu,+53 7 818023,+53 7 338301,raddg@ip.etecsa.cu
Cuba ,CUB,Empresa de Telecomunicaciones Celulares del Caribe S.A. (C-COM),"Calle 8 No.811, Apto 1, 5ta y 5ta B, Playa",LA HABANA 10300,,,CCOM,Waldo Reboredo Arroyo,+53 7 241640,+53 7 241640,wreboredo@cubacel.cu
Cuba ,CUB,Empresa de Telecomunicaciones de Cuba S.A.,Apartado Postal 628,LA HABANA 10200,,,ETECSA,José A. Fernández Martinez,+53 7 604848,+53 7 335144,jfernandez@pdcia.tel.etecsa.cu
Cuba ,CUB,Movitel S.A.,"Ave 49 No 2837 esquina 49A, Rpto Kohly Playa",LA HABANA 11300,,,MVTEL,Ascla Fernández Lorenzo,+53 7 244263,+53 7 244264,movitel@ip.etecsa.cu
Cuba ,CUB,Teléfonos Celulares de Cuba S.A. (CUBACEL),Calle 28 #510 Miramar,LA HABANA 11300,,,CUBCEL,Rafael Galindo Mier,+53 7 802222,+53 7 241737,cubacel@cubacel.com
Curaçao ,CUW,UTS Antelecom Services N.V.,Rigelweg #2,"WILLEMSTAD, CURACAO",,,ATC,Arno Spies,+599 9 777 0101,+599 9 737 4156,carrierservices@uts.an
