locale.address_line_1.zh,地址,,,,,,,,,,,,,,
locale.address_line_2.zh,地址,,,,,,,,,,,,,,
locale.address_line_3.zh,地址,,,,,,,,,,,,,,
locale.carrier_code.zh,企业代码（运营商代码）,,,,,,,,,,,,,,
locale.contact.zh,联系方式,,,,,,,,,,,,,,
locale.tel.zh,Tel,,,,,,,,,,,,,,
locale.fax.zh,Fax,,,,,,,,,,,,,,
locale.email.zh,E-mail,,,,,,,,,,,,,,
locale.country_or_area.ar,البلد أو المنطقة ,,,,,,,,,,,,,,
locale.iso_code.ar,رمز ISO,,,,,,,,,,,,,,
locale.company_name.ar,اسم الشركة,,,,,,,,,,,,,,
locale.address_line_1.ar,العنوان,,,,,,,,,,,,,,
locale.address_line_2.ar,العنوان,,,,,,,,,,,,,,
locale.address_line_3.ar,العنوان,,,,,,,,,,,,,,
locale.carrier_code.ar,رمز الشركة (رمز المشغل),,,,,,,,,,,,,,
locale.contact.ar,جهة الاتصال,,,,,,,,,,,,,,
locale.tel.ar,Tel,,,,,,,,,,,,,,
locale.fax.ar,Fax,,,,,,,,,,,,,,
locale.email.ar,E-mail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DATA,type=array,,,,,,,,,,,,,,
iso_code,country_or_area.en,country_or_area.fr,country_or_area.es,country_or_area.zh,country_or_area.ru,country_or_area.ar,company_name,address_line_1,address_line_2,address_line_3,carrier_code,contact,tel,fax,email
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Afghan Telecom Corporation,"4th Floor Post Parcel Bldg, Mohd Jan Khan Wat",KABUL,,AFGC00,Mohammed Aslam Popal,+93 75 203 0999,+93 20 210 4455,m.aslam@afghantelecom.af
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Afghan Wireless Communication Company AWCC,"AG Bank, Cinema Pamir",KABUL,,AWCC,Amin Ramin,+93 70 877 877,,a.ramin@telsysint.com
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Areeba Afghanistan,"House No. 35, Muslim St.","SHARE-NOW, KABUL",,AFGAR,Jesus Santelices,+93 77 222 1881,,jsantelices@areeba.com.af
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Etisalat Afghanistan,"Kabul Serena Hotel, Mohd Jan Khan Watt",KABUL,,ETI078,Salem Saeed Al Kendi,+93 79 777 7111,,etisalatafghanistan@gmail.com
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Ministry of Communications,KABUL,,,MOC,,,+93 20 210 1705,
AFG,Afghanistan,Afghanistan,Afganistán,阿富汗 ,Афганистан ,أفغانستان ,Telecom Development Company Afghanistan Ltd dba Roshan,"House #13, Main Street Wazir Akbar Khan",KABUL,,9379,Samir Satchu,+93 79 999 9996,,samir.satchu@roshan.af
ALB,Albania (Republic of),Albanie (République d'),Albania (República de),阿尔巴尼亚（共和国） ,Албания (Республика) ,جمهورية ألبانيا ,Albania Telecom,42 Rue Myslym Shyri,TIRANA,,AT,"Pirro Ciruna, Int'l Relation",+355 42 28406,+355 42 32200,
DZA,Algeria (People's Democratic Republic of),Algérie (République algérienne démocratique et populaire),Argelia (República Argelina Democrática y Popular),阿尔及利亚（人民民主共和国） ,Алжирская Народная Демократическая Республика ,جمهورية الجزائر الديمقراطية الشعبية ,Algérie Telecom spa,"Route Nationale 5, cinq Maisons Mohammadia",EL HARRACH - ALGER,,PTT,Chettih Messaoud,+213 21 823838,+213 21 823839,
AND,Andorra (Principality of),Andorre (Principauté d'),Andorra (Principado de),安道尔（公国） ,Андорра (Княжество) ,إمارة أندورا ,Servei de Telecomunicacions d'Andorra,Av. Meritxell 112,ANDORRA LA VELLA,,STA,Ricard Rodrigo,+376 821021,+376 860600,
AGO,Angola (Republic of),Angola (République d'),Angola (República de),安哥拉（共和国） ,Ангола (Республика) ,جمهورية أنغولا ,Angola Telecom,Caixa Postal 625,LUANDA,,AT,Simões Alexandre,+244 22 233 4102,+244 22 239 1688,
AGO,Angola (Republic of),Angola (République d'),Angola (República de),安哥拉（共和国） ,Ангола (Республика) ,جمهورية أنغولا ,Movicel Telecomunicaçôes Lda,"Rua Mãe Isabel No. 1, 1 andar",LUANDA,,MOV,Feliciano Antonio,+244 22 269 2454,+244 22 244 0130,feliciano.antonio@movicel.net
AIA,Anguilla,Anguilla,Anguilla,安圭拉,Ангилья ,أنغويلا ,Cable and Wireless (W.I.) Ltd.,PO Box 77,THE VALLEY,,CWAXA,"Robert Calvett, GM",+1 264 497 2650,+1 264 497 3390,
ATG,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,安提瓜和巴布达,Антигуа и Барбуда ,أنتيغوا وبربودا ,Cable and Wireless (W.I.) Ltd.,"PO Box 65, 42/44 St. Mary's Street","ST. JOHN'S, Antigua",,CWANU,"Mark R. Macfee, GM",+1 268 462 0810,+1 268 462 0843,
ARG,Argentine Republic,Argentine (République),Argentina (República),阿根廷共和国 ,Аргентинская Республика ,جمهورية الأرجنتين ,Telecom Argentina S.A.,"Alicia Moreau de Justo 50, Piso 7 Norte",1007 BUENOS AIRES,,TECO,Robert Grippai,+54 11 4968 1571,+54 11 4968 1072,
ARG,Argentine Republic,Argentine (République),Argentina (República),阿根廷共和国 ,Аргентинская Республика ,جمهورية الأرجنتين ,Telefónica de Argentina S.A.,"Av. de Mayo 701, Piso 23",1083 BUENOS AIRES,,TASA,Eduardo Gabelloni,+54 11 4328 7741,+54 11 4326 2821,
ARG,Argentine Republic,Argentine (République),Argentina (República),阿根廷共和国 ,Аргентинская Республика ,جمهورية الأرجنتين ,Telefónica Larga Distancia de Argentina S.A. (TLDA),Presidente Perón  PB 1286,1038 BUENOS AIRES,,TLDA,Hector Arman,+54 11 4370 1522,+54 11 4382 7509,harman@tlda.com.ar
ARM,Armenia (Republic of),Arménie (République d'),Armenia (República de),亚美尼亚（共和国） ,Армения (Республика) ,جمهورية أرمينيا ,Armenia Telephone Company,2 Aharonyan Street,YEREVAN 375014,,ARMTEL,,+374 10 549 799,+374 10 289 717,
ARM,Armenia (Republic of),Arménie (République d'),Armenia (República de),亚美尼亚（共和国） ,Армения (Республика) ,جمهورية أرمينيا ,K Telecom CJSC (Vivacell),4/1 Argishti Street,YEREVAN 375015,,ARM05,,+374 10 568 777,+374 10 569 222,
ABW,Aruba,Aruba,Aruba,阿鲁巴 ,Аруба ,آروبا ,"SETAR, Servicio di Telecomunicacion di Aruba","Seroe Blanco, Hendrikstraat 20-22",ORANJESTAD,,SETAR,Int'l Operational Affaires,+297 583 0950,+297 583 2977,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,AAPT Ltd,"AAP Centre, 9 Lang Street",SYDNEY NSW 2001,,AAPT,Tony Chamberlain,+61 2 9377 7167,+61 2 9377 7781,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,AARNET Pty. Ltd.,GPO Box 1142,CANBERRA ACT 2601,,AARNET,George McLaughlin,+61 2 6276 6900,+61 2 6276 6911,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,ACN 088 889 230 Ltd.,10 Ugerim Crescent,MITCHELL PARK VIC 3355,,NCABLE,Garth Freeman,+61 3 5339 0400,+61 3 5338 1508,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Agile Pty. Ltd.,31 York St.,"ADELAIDE, SA 5000",,AGILE,John Lindsay,+61 8 8232 1234,+61 8 8232 4567,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Airnet Commercial Australia Ltd.,149 Currie Street,"ADELAIDE, SA 5000",,AIRNET,Peter Karidis,+61 8 8211 8211,+61 8 8211 9333,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,AMCOM Telecommunications,43 King Edward Road,OSBORNE PARK,,AMCOM,Wally Borovac,+61 8 9244 6000,+61 8 9244 6001,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Australia-Japan Cable (Australia) Ltd.,"Cedar House, 41 Cedar Avenue",HAMILTON - BERMUDA,(Bermuda),AJC,John McKendry,+1 441 296 1007,+1 441 296 3519,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Broadband Access Pty. Ltd.,10 Monaro Road,KOOYONG 3144,,BBA,Mark D Bernard,+61 3 9662 9078,+61 3 9921 7177,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Cable & Telecoms Pty Ltd.,PO Box 740,"SOUTH PERTH, WA 6951",,CT,John Prichard,+61 8 9368 4988,+61 8 9368 4588,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Central Exchange Ltd.,"Level 14 The Forest Centre, 221 St. Georges T","PERTH, WA 6000",,CXL,William Johnson,+61 8 9214 9797,+61 8 9322 1515,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Chariot Internet Ltd.,"Level 1, 214 Greenhill Road","EASTWOOD, SA 5063",,CTI,Gary Walker,+61 3 5332 2140,+61 3 5331 9909,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Chime Communicatiions Pty Ltd.,Locked Bag 16,"CLOISTERS SQUARE, WA 6850",,CHIME,Andrew Milner,+61 8 9221 8891,+61 8 9221 8898,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,eCom Communications Pty. Ltd.,"c/o Bates Cosgrave, 506 Miller Street",COMNERAY NSW 2062,,ECOMAU,Stephen Conlon,+61 2 9332 1863,+61 2 9332 1863,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Eftel Pty Ltd.,"Level 8, 250 St. Georges Terrace","PERTH, WA 6000",,EFTRAD,Jurgen Stehert,+61 8 9481 4999,+61 8 9322 4924,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,ETSA Utilities,1 Anzac Highway,"KESWICK, SA 5035",,ETSA,Richard Sibly,+61 8 8404 5012,+61 8 8404 4145,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Global Dial Pty Ltd.,278 Stirling Highway,"CLAREMONT, WA 6014",,GDL,Kevin Clark,+61 8 9383 1800,+61 8 9383 2818,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Hutchison 3G Australia Pty. Ltd.,504 Pacific HWY,ST. LEONARDS NSW 2065,,H3GA,Brian Currie,+61 2 9964 4660,+61 2 9964 4811,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Hutchison Telecommunications (Australia) Ltd.,504 Pacific HWY,ST. LEONARDS NSW 2065,,HTAL,Brian Currie,+61 2 9964 4660,+61 2 9964 4811,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Ipera Communications Pty. Ltd.,9 Denison Street,NEWCASTLE WEST NSW 2302,,IPERA,Bruce Jones,+61 2 7940 6666,+61 2 7940 6633,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Macquarie Corporate Telecommunications Network Carrier Services,"Level 6, 33 Bligh Street","SYDNEY, NSW 3000",,MCT,Aidan Tudehope,+61 2 9201 0000,+61 2 9201 0088,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Macrocom Pty Ltd.,"level 1, 541 Kent street","SYDNEY, NSW 2000",,FLOCOM,B Blundell,+61 2 9263 5021,+61 2 9264 9868,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,MCI Worldcom Australia pty Ltd.,203 Pacific Highway,ST. LEONARDS NSW 2065,,WCOMAU,Mary-Jane Salier,+61 2 9434 5418,+61 2 9434 5960,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,National Power Services,188 Cheltenham Road,KEYSBOROUGH 3173,,NPS,Russell Dunstan Biginess,+61 3 9238 3878,+61 3 9238 3890,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Netcare Telecommunications Pty Ltd.,5 Belmont Avenue,"PERTH, WA 6104",,NETCAR,Kevin Humphreys,+61 438 884 032,+61 8 9477 6777,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Nextgen Networks Pty Ltd.,12 Help Street,"CHATSWOOD, NSW 2067",,NEXGEN,Paul Sacks,+61 2 9414 3500,+61 2 9414 3550,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Ntl Telecommunications Pty. Ltd.,"Level 2, 655 Pacific Highway",ST. LEONARDS NSW 2065,,NTLA,David Green,+61 2 8425 4666,+61 2 8425 4641,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Opentec Pty Ltd.,"Unit A2, 6-8 Lyon Park Road","NORTH RYDE, NSW 2113",,OPENTE,Alan Conder,+61 2 9878 1744,+61 2 9878 1755,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Optus Ltd.,PO Box 1,SYDNEY NSW 2059,,OPTUS,Rob Gillan,+61 2 9342 8170,+61 2 9342 7766,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Oz TelecomPty Ltd.,"Level 1, 130 Bourke Street","MELBOURNE, VIC 3000",,OZTEL,Stephen Scott,+61 3 9663 8177,+61 3 9663 8939,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Pahth Telecommunications Ltd.,1195 Hay Street,"WEST PORTH, WA 6872",,PAHTH,Peter Hanley,+61 8 9321 9321,+61 8 9321 2689,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Powertel Ltd.,"Level 11, 55 Clarence Street","SYDNEY, NSW 2000",,PWRTEL,Paul Teng,+61 2 8264 3835,+61 2 8264 4588,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Qala (Australia) Pty. Ltd.,"Level 3, 15 Castleraegh Street","SYDNEY, NSW 2000",,QALA,Sam Rahme,+61 2 8226 9911,+61 2 8226 9900,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Reach Networks Australia Pty Ltd,"Floor 7, 363 Oxford Street","PADDINGTON, NSW 2021",,REACH,Wayne Grundy,+61 2 8289 0010,+61 2 9339 6982,wayne.grundy@reach.com
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,RequestDSL Pty Ltd.,"Level 12, 461 Bourke Street","MELBOURNE, VIC 3000",,REQEST,Gary Mc Laren,+61 3 8628 2740,+61 3 9670 6867,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,SCCL Australia Ltd.,"Suite 781, No. 48 Par-La-Ville Road",HAMILTON HM11 -  BERMUDA,,SCCLA,Ernie Wan,+1 441 296 5659,+1 441 296 5929,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Snowy Net Pty Ltd.,26B Bombala Street,"COOMA, NSW 2630",,SNOWYN,Adrian Blake,+61 2 6452 5555,+61 2 6452 4317,adrian@snowy.net.au
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Soul Pattinson Telecommunications Pty. Ltd.,11-17 Mosbri Crescent,NEWCASTLE NSW 2300,,SPT,Scott MacGregor,+61 2 4929 2933,+61 2 4929 6111,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Telecasters Communications Pty Ltd.,"Level 8, 1 Elizabeth Plaza","NORTH SYDNEY, NSW 2060",,TCPL,Andrew Werro,+61 2 9922 1011,+61 2 9922 1033,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Telstra Corporation Ltd.,PO Box 7000,"SYDNEY, NSW 2001",,TELSTR,John Pellicano,+61 2 9287 5678,+61 2 9287 5617,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,TransACT Capital Communications Pty. Ltd.,"Level 3, TransACT House, 470 Northbourne Aven",DICKSON ACT 2602,,TRANSA,Dianne Evans,+61 2 6229 8089,+61 2 6229 8011,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Uecomm Operations Pty Ltd.,"Level 13, 101 Collins Street",MELBOURNE 3000,,UECOMM,Lyndon Goulding,+61 3 9222 9222,+61 3 9222 9233,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Victorian Rail Track,"Level 17, 589 Collins Street","MELBOURNE, VIC 3000",,VICTRK,Tony Canavan,+61 3 9619 8842,+61 3 9619 8851,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Vodafone Australia Pty Ltd.,799 Pacific Highway,"CHATSWOOD, NSW 2067",,VFONE,Julian Gorman,+61 2 9415 7000,+61 2 9415 7188,julian.gorman@vodafone.com.au
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,Windytide Pty Ltd.,"Level 29, AAP Centre, 259 George Street","SYDNEY, NSW 2000",,AUSTAR,Regulatory Officer,+61 2 9394 9845,+61 2 9394 9850,
AUS,Australia,Australie,Australia,澳大利亚 ,Австралия ,أستراليا ,XYZed Pty. Ltd.,95 Nicholson Street,ST. LEONARDS NSW 2065,,XYZED,Amanda Choy,+61 2 9775 7608,+61 2 9775 7780,
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,CyberTron Austrian Digital Telekom GmbH,Davidgasse 94,A-1100 WIEN,,CYBER,Christian Forstner,+43 1 919 29,+43 1 919 29 1209,
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Etel Austria AG,"Technopark Thomas A., Edison Str. 1",A-7000 EISENSTADT,,ETELAT,Fritz Wildt,+43 2682 998 98 5423,,wildt@etel.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,European Telecom International AG,Floragasse 7,A-1040 WIEN,,ET1007,Markus Kollermann,+43 1 5060 1200,+43 1 5060 1999 200,mkollermann@europeantelecom.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,FaciliCom International GmbH,Helligenstadter Lande 27c,A-1190 WIEN,,FCI,Ing. Franz Bader,+43 1 360 19 1120,+43 1 360 19 2222,franz.bader@eu.facilicom.com
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Max.Mobil Telekommunikation Service GmbH,Kelsenstrasse 5-7,A-1030 WIEN,,MAX676,Christian Walzel,+43 1 79585 6448,+43 1 79585 6535,christian.walzel@maxmobil.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,MCN Millennium Communication Network,Handelskai 94-96,A-1200 WIEN,,MCNAT,Andreas Harti,+43 1 20700 1010,+43 1 20700 1099,andreas.hartl@mcn-tower.com
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Mobilkom Austria AG & Co. Kg.,Obere Donaustrasse 29,A-1020 WIEN,,AUTMK,Dr Werner Wiedermann,+43 1 33161 6000,+43 1 33161 6009,w.wiedermann@mobilkom.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,RSLCom Austria AG,Technopark Eisenstadt,A-7000 EISENSTADT,,RSLCOM,Peter Ziegelwanger,+43 2682 716 5250,+43 2682 716 5279,pz@rslcom.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Tele2 UTA Telecommunication GmbH,Donau-City-Str. 11,A-1220 WIEN,,UTA,Werner Augustin,+43 1 9009 3426,+43 1 9009 93426,werner.augustin@uta.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Telekom Austria Aktiengesellschaft,Postgasse 8,A - 1010 WIEN,,AUTTA,Martin Fröhlich,+43 59059 1 16002,+43 59059 1 16009,martin.froehlich@telekom.at
AUT,Austria,Autriche,Austria,奥地利 ,Австрия ,النمسا ,Well.Com Data Highway Burgenland GmbH,Technologiezentrum,A-7000 EISENSTADT,,WELLCO,Wolfgang Eder,+43 2682 704 3345,+43 2682 704 3314,w.eder@wellcom.at
AZE,Azerbaijan (Republic of),Azerbaïdjan (République d'),Azerbaiyán (República de),阿塞拜疆（共和国） ,Азербайджанская Республика ,جمهورية أذربيجان ,Ministry of Communications,33  Azerbaijan Avenue,AZ 1000 BAKU,,MOC,J. Jafarov,+994 12 498 1816,+994 12 498 4285,behm@bakinter.net
BHS,Bahamas (Commonwealth of the),Bahamas (Commonwealth des),Bahamas (Commonwealth de las),巴哈马（联邦） ,Содружество Багамских Островов ,كومنولث البهاما ,Bahamas Telecommunications Company Ltd.,"John F. Kennedy Drive, PO Box N-3048",NASSAU,,BATLCO,,+1 242 323 4911,+1 242 326 0880,
BHR,Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),巴林（王国）) ,Бахрейн (Королевство) ,مملكة البحرين ,Bahrain Telecommunications Company (BATELCO),PO Box 14,MANAMA,,BHBTC,Ebrahim Al Haddad,+973 17 885510,+973 17 532116,mi2@btc.com.bh
BGD,Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),孟加拉（人民共和国） ,Бангладеш (Народная Республика) ,جمهورية بنغلاديش الشعبية ,Bangladesh Telegraph and Telephone Board (BTTB),Central Office,DHAKA 1000,,BTTB,,+880 2 831500,+880 2 832577,
BRB,Barbados,Barbade,Barbados,巴巴多斯 ,Барбадос ,بربادوس ,Cable and Wireless BET Ltd.,PO Box 32,BRIDGETOWN,,BET,"George D. Miller, N.O.",+1 246 292 6000,+1 246 427 5808,
BLR,Belarus (Republic of),Bélarus (République du),Belarús (República de),白俄罗斯（共和国） ,Беларусь (Республика) ,جمهورية بيلاروس ,Belcel,"5, Zolotaya Gorka",MINSK 220005,,BELCEL,"Vladimir Getmanov, GM",+375 176 760600,+375 176 760333,
BLR,Belarus (Republic of),Bélarus (République du),Belarús (República de),白俄罗斯（共和国） ,Беларусь (Республика) ,جمهورية بيلاروس ,The Republican Association BELTELECOM,"6, Engels Street",MINSK 220030,,BTCOM,Sidorenko Lily M.,+375 17 222 2685,+375 17 227 4422,
BEL,Belgium,Belgique,Bélgica,比利时,Бельгия ,بلجيكا ,B-Telecom,"Avenue de la Porte de Hal, 40",B-1060 BRUXELLES,,B,Ir. Philippe Claes,+32 2 528 3610,+32 2 528 3719,philippe.claes@b-rail.be
BEL,Belgium,Belgique,Bélgica,比利时,Бельгия ,بلجيكا ,BELGACOM société anonyme de droit public,Boulevard du Roi Albert II 27,B-1020 BRUXELLES,,BGACOM,Eric Thonnard,+32 2 202 7707,+32 2 202 7989,eric.thonnard@belgacom.be
BEL,Belgium,Belgique,Bélgica,比利时,Бельгия ,بلجيكا ,Codenet,Avenue Ariane 7,B-1200 BRUXELLES,,CDN,Bart Pauwels,+32 2 473 7488,+32 2 473 7950,bart.pauwels@codenet.be
BEL,Belgium,Belgique,Bélgica,比利时,Бельгия ,بلجيكا ,FaciliCom International Belgium,Excelsiorlaan 89,B-1930 ZAVENTEM,,FCI,Elisa Hau,+32 2 401 1700,+32 2 401 1701,
BEL,Belgium,Belgique,Bélgica,比利时,Бельгия ,بلجيكا ,Ministerie v/d Vlaamse Geneenschep,Electiciteit en Mechanica Antwerpen,"Copernicuslaan 1, 2018 ANTWERPEN",,FLA,Willy Frans,+32 3 224 6600,+32 3 224 6605,willy.frans@lin.vlaanderen.be
