BINZA,decoding,,,,,Recognized Operating Agency (ROA) does not admit this class of traffic.,Exploitation reconnue (ER) n’admet pas cette catégorie de trafic.,Empresa de explotación reconocida (EER) no admite esta categoría de tráfico.
CEPAD,decoding,,,,,In our number __________ number of words __________ correct.,Dans notre numéro __________nombre des mots __________ correct.,En nuestro número __________cómputo de palabras __________ correcto.
CESAP,decoding,,,,,Wrong number of words __________ actuals received.,Nombre des mots inexact __________ en fait reçu __________.,Número de palabras erróneo __________ recibidas ___________.
CODUN,decoding,,,,,Read number of words in __________ as __________.,En notre __________ lire le nombre des mots __________.,Cuenten __________ palabras en __________.
ENRAM,decoding,,,,,Propose diverting __________ traffic via you. Advise if you can clear without delay.,Proposons de dévier __________ trafic sur vous; faites savoir si pouvez acheminer sans délai.,Proponemos desviación tráfico __________ hacia ustedes; avisen si pueden encaminarlo sin retraso.
EVLOW,decoding,,,,,"Your __________ apparently miscirculated to us, message held awaiting your instructions.","Votre __________semble avoir été dirigé sur nous par erreur, message en instance en attendant vos instructions.","Su __________ parece dirigido a nosotros por error, detenemos mensaje en espera sus instrucciones."
GYLIL,decoding,,,,,Complaint of delay. Give time received and delivered (reforwarded) and explain any delay.,Plainte pour retard. Donnez heure de réception et de remise (ou de retransmission) et expliquez tout retard.,Reclamación por retraso. Indiquen hora de recepción y entrega (o de retransmisión) y expliquen el retraso.
HAGAS,decoding,,,,,"Confirm time of acceptance __________, complaint of delay.","Confirmez heure de dépôt __________, plainte pour retard.","Confirmen hora depósito __________, reclamación por retraso."
HAPIG,decoding,,,,,Delay due to __________.,Retard dû à __________.,Retraso debido a __________.
HETIN,decoding,,,,,Explain delay.,Expliquez retard.,Expliquen retraso.
HOMAT,decoding,,,,,No delay.,Pas de retard.,Sin retraso.
JAJAR,decoding,,,,,Can you now deliver?,Le télégramme peut-il maintenant être remis?,¿Pueden entregar ahora el telegrama?
JAMEG,decoding,,,,,"__________ claimed registered address good, messages previously sent to same address duly delivered.","__________ déclare adresse enregistrée bonne, messages précédemment expédiés même adresse dûment remis.","__________ declara que la dirección registrada es correcta, telegramas anteriores enviados misma dirección se entregaron debidamente."
JARAG,decoding,,,,,__________ claims misdelivered. Give particulars of delivery.,__________déclare mal remis. Donnez détails sur remise.,__________ declara mal entregado. Den detalles entrega.
JEHAT,decoding,,,,,Deliver to __________.,Remettez à __________.,Entreguen a __________.
JIDEW,decoding,,,,,Delivered to and accepted by ___________.,Remis à et accepté par ___________.,Entregado y aceptado por ___________.
JIFAG,decoding,,,,,Delivered to registered address __________.,Remis à  l’adresse  enregistrée __________.,Entregado en la dirección registrada __________.
JIHAW,decoding,,,,,Delivery office closed.,Bureau de distribution fermé.,Oficina de distribución cerrada.
JIJAY,decoding,,,,,Duly delivered.,Dûment remis.,Debidamente entregado.
JOHAY,decoding,,,,,Give particulars of receipt and delivery.,Donnez détails de réception et de remise.,Den detalles de recepción y entrega.
JOKID,decoding,,,,,State date and time of delivery.,Communiquez date et heure de remise.,Comuniquen fecha y hora de entrega.
JUFAR,decoding,,,,,__________ is a reply to your __________. Can you now deliver?,__________ est une réponse à votre __________. Pouvez-vous remettre maintenant?,__________ es respuesta a su __________. ¿Pueden entregarlo ahora?
JUJEW,decoding,,,,,Message has been called for.,Message a été réclamé.,Se ha reclamado mensaje.
JUKIT,decoding,,,,,Message received at __________ and delivered at __________.,Message reçu à __________ et remis à __________.,Telegrama recibido a las __________ y entregado a las __________.
JYBAG,decoding,,,,,"Now delivered, called for.","Maintenant remis, réclamé.","Entregado ya, reclamado."
JYDOT,decoding,,,,,Now delivered to and accepted by __________. (_complete address_),Maintenant remis et accepté par __________. (adresse complète),Entregado ya y aceptado por __________. (dirección completa)
JYGUS,decoding,,,,,Now cleared to ship. Cancel advice of non-delivery.,Maintenant transmis au navire. Annulez l’avis de non-remise.,Ya transmitido al barco. Anule aviso de no entrega.
JYSUM,decoding,,,,,Re-tender and advise.,Présentez de nouveau et avisez.,Vuelvan a presentarlo e informen.
MAHPO,decoding,,,,,Why was it not delivered?,Pourquoi n’a-t-il pas été remis?,¿Por qué no ha sido entregado?
MAJPA,decoding,,,,,Forward by mail.,Faites suivre par poste.,Cursen por correo.
MANAG,decoding,,,,,Forwarding by mail.,Faisons suivre par poste.,Se cursa por correo.
MATIS,decoding,,,,,__________ still on hand as communication not established since receipt. Message(s) will be retained for further trial unless otherwise instructed.,__________ toujours en mains aucun contact n’a été établi depuis réception.  Message(s) sera(seront) conservé(s) pour nouvel essai à  moins d’instructions différentes.,__________ todavía por cursa ya que no se ha establecido la comunicación desde su recepción. El (los) mensaje(s) se guarda(n) para otros intentos a menos que se reciban otras instrucciones.
MATMU,decoding,,,,,Instruct us how to dispose of __________.,Dites-nous que faire de __________?,Digan cómo curso __________.
MEGLA,decoding,,,,,__________ was forwarded to __________ at __________.,__________ a été acheminé sur __________ à __________.,__________ fue cursado a  __________ a las __________.
MEROW,decoding,,,,,__________ are identical.,__________ sont identiques.,__________ son idénticos.
METAB,decoding,,,,,Duplicate delivered.,Duplicata remis.,Entregado duplicado.
MIHOB,decoding,,,,,Message number __________ appears to have been received also under number __________. Shall we cancel latter copy?,Message numéro __________ semble avoir été également reçu sous numéro __________. Devons-nous annuler cette dernière réception?,Mensaje número __________ parece haberse recibido también bajo el número __________. ¿Debemos anularlo?
MIHYT,decoding,,,,,Message number __________ is not duplicate of message number __________.,Message numéro __________ n’est pas duplicata du message numéro __________.,Mensaje número __________ no es duplicado del mensaje número __________.
MIJEM,decoding,,,,,Uncertain if following message (service advice) has been sent to you before. If previously received under another number cancel this copy and report.,"Ne sommes pas certains que ce message (cet avis de service) vous a déjà été transmis. Si vous l’avez reçu précédemment sous un autre numéro, annulez cette copie. Donnez réponse.",No sabemos si mensaje (aviso de servicio) siguiente se les ha cursado ya. Si lo han recibido ya con otro número anulen esta copia y avisen.
MIJNU,decoding,,,,,We have two different messages under number __________. Give new number.,Nous avons deux messages différents sous le numéro __________. Donnez nouveau numéro.,Tenemos dos mensajes distintos con el número __________. Sírvanse dar nuevo número.
MIRZU,decoding,,,,,Can you explain?,Pouvez-vous expliquer?,¿Pueden explicar?
MOBAY,decoding,,,,,Can you trace?,Pouvez-vous retrouver?,¿Pueden investigar?
MODAB,decoding,,,,,Case now closed.,Affaire terminée.,Asunto resuelto.
MOPOH,decoding,,,,,Following received from __________.,Reçu ce qui suit de __________.,Recibido de __________lo siguiente.
MOPYD,decoding,,,,,What is the name of the coast station?,Quel est le nom de la station côtière?,¿Cómo se llama la estación costera?
MORUG,decoding,,,,,What is the name of the ship station?,Quel est le nom de la station de navire?,¿Cómo se llama la estación de barco?
MOYES,decoding,,,,,Give telegraph office of origin.,Indiquez bureau télégraphique d’origine.,Indiquen oficina telegráfica de origen.
MYBEG,decoding,,,,,Enquire and advise us.,Informez-vous (ou enquêtez) et avisez-nous.,Averigüen e informen.
MYJUG,decoding,,,,,"Please report present status of enquiry, we are being pressed for a reply.",Où en est l’enquête? On nous presse de répondre.,¿Que han averiguado? Nos piden respuesta.
NACBA,decoding,,,,,"We are enquiring, will reply as soon as possible.","Enquêtons, répondrons aussitôt que possible.","Indagamos, contestaremos en cuanto sea posible."
NACNE,decoding,,,,,We are enable to trace.,Ne pouvons retrouver.,No podemos localizar.
NAFAC,decoding,,,,,Addressee claims incorrect.,Destinataire prétend incorrect.,Destinatario pretende que es incorrecto.
NEDIB,decoding,,,,,"Place of destination incomplete, there are several. Advise.","Lieu de destination incomplet, il y en a plusieurs. Renseignez.","Lugar de destino incompleto, existen varios. Sírvanse informar."
NEDYF,decoding,,,,,Error(s) made here and will be dealt with.,Erreur(s) faite(s) ici. Mesures seront prises.,Error(es) cometido(s) aquí. Se subsanará(n).
NEFAT,decoding,,,,,Error of service.,Erreur de service.,Error de servicio.
NEMYD,decoding,,,,,"Place of destination unknown, we forwarded to __________. Correct if necessary.",Lieu de destination inconnu; nous dirigeons sur __________. Rectifiez si utile.,Punto de destino desconocido. Cursamos a  __________. Rectifiquen si es necesario.
NIBYP,decoding,,,,,Mutilated. Please repeat.,Mutilé. Prière répéter.,Mutilado. Rogamos repitan.
NISER,decoding,,,,,Omitted.,Omis.,Omitido.
NODHE,decoding,,,,,Sender's error.,Erreur de l’expéditeur.,Error del expedidor.
OLMAD,decoding,,,,,"Address insufficient, we try delivery to __________. Correct if necessary.","Adresse insuffisante, nous essayons de remettre à __________. Corrigez si nécessaire.","Dirección insuficiente, intentamos su entrega a  __________. Rectifiquen si es necesario."
OLWAY,decoding,,,,,"Address unregistered, we try delivery to __________. Correct if necessary.","Adresse non enregistrée, nous essayons de remettre à __________. Corrigez si nécessaire.","Dirección no registrada, intentamos su entrega a  __________. Rectifiquen si es necesario"
OMKEW,decoding,,,,,Complaint of non-delivery. Give full particulars of delivery and say if addressee acknowledges receipt.,Réclamation pour non-remise. Donnez tous détails sur remise et dites si le destinataire accuse réception.,"Reclamación por no entrega. Indiquen detalles de la entrega, señalando si destinatario acusa recibo."
ONKEY,decoding,,,,,Message unacknowledged after __________ transmissions. Please advise.,Pas reçu accusé de réception après __________transmissions. Prière renseigner.,No recibido acuse recibo después de __________transmisiones. Sírvanse informar.
OPBUN,decoding,,,,,__________ sender received advice by another route that message undelivered. Please investigate and reply quickly.,__________ expéditeurs ont reçu avis par autre voie que message non-remis. Prière enquêter et répondre rapidement.,__________ expedidores han recibido aviso por otra ruta de que su mensaje no ha sido entregado. Rogamos investiguen y respondan urgentemente.
OPKID,decoding,,,,,Treat as non-delivery.,Traitez comme une «non-remise».,Considérenle como no entregado.
OPSOP,decoding,,,,,"Undelivered, addressee cannot be found","Non remis, destinataire introuvable.","No entregado, no se encuentra al destinatario"
OPWIG,decoding,,,,,"Undelivered, refused by addressee.","Non remis, refusé par le destinataire.","No entregado, rehusado por destinatario."
ORDAD,decoding,,,,,"Undelivered, addressee not on board.","Non remis, destinataire pas à  bord.","No entregado, destinatario no se halla a bordo."
ORMAT,decoding,,,,,"Undelivered, house closed; notice mailed.","Non remis, maison fermée; avis envoyé par poste.","No entregado, casa cerrada, enviado aviso postal."
ORWON,decoding,,,,,"Undelivered, owing to __________.",Non remis à cause de __________.,No entregado a causa de __________.
OSHAT,decoding,,,,,"Undelivered, returned by postal service, unclaimed.","Non remis, renvoyé par service postal, non réclamé.","No entregado, devuelto por correos, no reclamado."
OSJOG,decoding,,,,,"Undelivered, returned by postal service, unknown.","Non remis, renvoyé par service postal, inconnu.","No entregado, devuelto por correos, desconocido."
OSMAW,decoding,,,,,"Undelivered, several firms of that name.","Non remis, plusieurs firmes de ce nom.","No entregado, varias firmas con el mismo nombre."
OSSUP,decoding,,,,,"Undelivered, several streets of that name, district required.","Non remis, plusieurs rues de ce nom; indiquez arrondissement (ou quartier, district, etc.).","No entregado, varias calles del mismo nombre. Indiquen distrito (o barrio, etc.)."
OTTAB,decoding,,,,,"Undelivered, unable to contact telephone number.","Non remis, impossible atteindre numéro de téléphone.","No entregado, imposible comunicar con número teléfono."
PAJAV,decoding,,,,,Addressee acknowledges receipt.,Destinataire accuse réception.,Destinatario acusa recibo.
PALAM,decoding,,,,,Get addressee's acknowledgement of receipt.,Demandez accusé de réception au destinataire.,Pidan acuse de recibo al destinatario.
PALIL,decoding,,,,,Good delivery receipt held for __________.,Avons accusé de réception pour __________.,Tenemos acuse recibo para __________.
PAMNO,decoding,,,,,__________ is registered for __________.,__________ est enregistré pour __________.,__________ registrada para __________.
PASCA,decoding,,,,,Transmitted twice; cancel second transmission.,Transmis deux fois; annulez deuxième transmission.,Transmitido dos veces; anulen segunda transmisión.
PATAB,decoding,,,,,Supply unpacked address for __________.,Fournissez adresse développée de __________.,Comuniquen dirección completa de __________.
PEZES,decoding,,,,,We are refunding.,Nous remboursons.,Reembolsamos.
PEZIH,decoding,,,,,Refund is authorized.,Remboursement autorisé.,Autorizado reembolso.
PEZJU,decoding,,,,,Refund is not authorized.,Remboursement non autorisé.,No se autoriza el reembolso.
PEZVE,decoding,,,,,Telegram service not at fault.,Service télégraphique pas en faute.,No es culpa servicio telegráfico.
PEZYV,decoding,,,,,Refund of charges are in order for any special service relating to the radiotelegram that have not been carried out.,Remboursement des taxes est en règle en ce qui concerne les services spéciaux non rendus relatifs aux radiotélégrammes.,Se acepta el reembolso de las tasas en lo que respecta a los servicios especiales no efectuados relativos a los radiotelegramas.
PIDUD,decoding,,,,,Sender applies for refund of message charges. Please authorize.,Expéditeur demande remboursement des taxes du message. Prière autoriser.,Expedidor pide reembolso importe mensaje. Rogamos autorización.
PITUG,decoding,,,,,Sender's confirmation.,Confirmation donnée par l’expéditeur.,Confirmación dada por el expedidor.
POFIH,decoding,,,,,Correct if necessary.,Rectifiez si nécessaire.,Rectifiquen si es necesario.
POHCO,decoding,,,,,Correction made by sender.,Correction faite par l’expéditeur.,Corrección hecha por el expedidor.
POHEG,decoding,,,,,Correct on our copy.,Correct sur notre copie.,Correcto en nuestra copia.
POHOC,decoding,,,,,Do not understand your service advice. Repeat references.,Ne comprenons pas votre avis de service. Répétez les références.,No comprendemos su aviso de servicio. Sírvanse repetir referencias.
POMDU,decoding,,,,,Delete CTF (Correction to follow) in service instructions.,Biffer CTF (Rectification suivra) dans les mentions de service.,Borren CTF (Seguirá rectificación) en las menciones de servicio.
POMZO,decoding,,,,,"__________ forwarded ""subject to correction"" for __________.",__________ est transmis «sujet à correction» pour __________.,__________ cursado «sujeto a corrección» para __________.
PONEB,decoding,,,,,Forward (or deliver) correction.,Faites suivre (ou remettez) correction.,Cursen (entreguen) corrección.
POSAG,decoding,,,,,Consult sender.,Consultez l’expéditeur.,Consulten al expedidor.
POSRA,decoding,,,,,Herewith copy __________.,Voici copie __________.,He aquí copia __________.
PUCUD,decoding,,,,,Indistinctly written.,Écriture douteuse.,Escritura dudosa.
PUFOB,decoding,,,,,"Is this message still ""subject to correction""?",Ce message est-il toujours «sujet à correction»?,¿Sigue este telegrama «sujeto a corrección»?
PYBIN,decoding,,,,,Office of addressees closed.,Bureau des destinataires fermé.,Oficina del destinatario cerrada.
PYSAT,decoding,,,,,Delivered subsequently. Cancel advice of non-delivery.,Remis postérieurement. Annulez avis de non-remise.,Entregado posteriormente. Anulen aviso de no entrega.
RACYB,decoding,,,,,Still undelivered.,Toujours non remis.,Continúa sin entregar.
RAFIS,decoding,,,,,"Undelivered, not called for.","Non remis, pas réclamé.","Sin entregar, no reclamado."
RAFSO,decoding,,,,,Second application.,Deuxième demande.,Segunda petición.
RAFUJ,decoding,,,,,"Undelivered, addressee absent.","Non remis, destinataire absent.","No entregado, destinatario ausente."
RAHOT,decoding,,,,,"Undelivered, addressee left, forwarded by post to __________.","Non remis, destinataire parti, réexpédié par poste à __________.","No entregado, destinatario marchó, reexpedido por correo a __________."
RAJAJ,decoding,,,,,"Undelivered, addressee unknown.","Non remis, destinataire inconnu.","No entregado, destinatario desconocido."
RAJEV,decoding,,,,,"Undelivered, addressee left for __________.","Non remis, destinataire parti pour __________.","No entregado, destinatario marchó a __________."
RAJFU,decoding,,,,,"Undelivered, addressee left without leaving address.","Non remis, destinataire parti sans laisser d’adresse.","No entregado, destinatario marchó sin dejar señas."
RAMUZ,decoding,,,,,Subject to correction.,Sujet à correction.,Sujeto a corrección.
RATEB,decoding,,,,,Third application.,Troisième demande.,Tercera petición.
REGAD,decoding,,,,,"Undelivered, several persons of the same name.","Non remis, plusieurs personnes de ce nom.","No entregado, varias personas del mismo nombre."
REJAB,decoding,,,,,"Undelivered, ship out of range.","Non remis, navire hors d’atteinte.","No entregado,  barco fuera de alcance."
REKEG,decoding,,,,,"Undelivered, address insufficient.","Non remis, adresse insuffisante.","No entregado, dirección insuficiente"
RICOD,decoding,,,,,"Undelivered, address no longer registered.","Non remis, adresse n’est plus enregistrée.","No entregado, dirección caducada."
RIJAG,decoding,,,,,"Undelivered, address not registered.","Non remis, adresse pas enregistrée.","No entregado, dirección no registrada."
RISOB,decoding,,,,,"Undelivered, no house at that number.","Non remis, numéro de maison n’existe pas.","No entregado, no existe tal número de casa."
ROCOG,decoding,,,,,"Undelivered, place, street, road, etc. unknown.","Non remis, place, rue, avenue, etc., inconnue.","No entregado, plaza, calle, avenida, etc., desconocida."
ROFAB,decoding,,,,,"Undelivered, not claimed on board.","Non remis, non réclamé à bord.","No entregado, no reclamado a bordo."
ROFER,decoding,,,,,"Undelivered, ship already left.","Non remis, navire déjà parti.","No entregado, barco ya zarpado."
ROFJO,decoding,,,,,"Undelivered, ship did not communicate.","Non remis, navire ne s’est pas annoncé.","No entregado, el barco no se ha anunciado."
ROFUN,decoding,,,,,Your BQ makes no correction.,Votre BQ ne fait pas de correction.,Su BQ no rectifica nada.
ROKEW,decoding,,,,,Your service advice corrected and forwarded., Votre avis de service corrigé et retransmis.,Su aviso de servicio corregido y cursado.
ROSOP,decoding,,,,,Undelivered. Several ships of the same name. Please supply nationality and/or call sign.,Non remis. Plusieurs bateaux de même nom. Prière fournir nationalité et/ou indicatif d’appel.,"No entregado. Hay varios barcos de igual nombre. Sírvanse indicar nacionalidad, distintivo de llamada o ambas cosas."
RUCMU,decoding,,,,,"Undelivered, telephone number given in address does not correspond with the name of addressee.","Non remis, numéro de téléphone indiqué dans l’adresse ne correspond pas au nom du destinataire.","No entregado, número de teléfono indicado en dirección no corresponde al nombre del destinatario."
RUCOS,decoding,,,,,"Undelivered, hotel, house, firm, etc. no longer exists.","Non remis, hôtel, maison, firme, etc., n’existe plus.","No entregado, ya no existe el hotel (casa, firma, etc.)."
TOPMO,decoding,,,,,Acknowledge this notification.,Accusez réception de cette notification.,Acusen recibo de esta comunicación.
TUHRU,decoding,,,,,Say if in agreement.,Prière dire si d’accord.,Digan si están de acuerdo.
TUNHO,decoding,,,,,We are in agreement.,Nous sommes d’accord.,Estamos de acuerdo.
TUNVU,decoding,,,,,We are not in agreement.,Nous ne sommes pas d’accord.,No estamos de acuerdo.
UDFOG,decoding,,,,,Please have it attended to immediately.,Prière faire nécessaire immédiatement.,Rogamos lo atiendan inmediatamente.
UGJAW,decoding,,,,,Complaint has been made.,Réclamation a été déposée.,Presentada reclamación.
UHYON,decoding,,,,,Missing __________. Please supply copy quickly.,Manque __________. Prière donner rapidement copie.,Extraviado __________. Faciliten copia rápidamente.
UJDUD,decoding,,,,,__________ missing. Please supply copy quickly preceded by reference of this service advice.,"Manque __________. Prière donner rapidement copie, précédée par référence de cet avis de service.","__________ extraviado, sírvanse facilitarnos una copia rápidamente precedida por la referencia de este aviso de servicio."
UKTAB,decoding,,,,,Have you any record of such a message having been filed (received)?,Pouvez-vous voir si un tel message a été déposé (reçu)?,¿Pueden comprobar si se ha depositado (recibido) tal mensaje?
UPBAG,decoding,,,,,For your information.,Pour votre information.,Para su conocimiento.
USLEG,decoding,,,,,"Case under investigation, will reply as soon as possible.","Affaire sous enquête, répondrons dès que possible.","Se estudia el caso, responderemos lo antes posible."
USTIN,decoding,,,,,Please investigate and reply as soon as possible.,Prière enquêter et répondre aussitôt que possible.,Rogamos investiguen y respondan lo antes posible.
UTCOD,decoding,,,,,Use the code.,"Utilisez le code, s.v.p.!",Utilicen el código.
VEBET,decoding,,,,,Please do needful.,Prière faire le nécessaire.,Rogamos hagan lo necesario.
VUSOB,decoding,,,,,Read telegraph office of origin __________.,Lisez bureau télégraphique d’origine __________.,Lean oficina telegráfica de origen __________.
WAJEJ,decoding,,,,,Please give prefix number or channel sequence number under which the transit telegram referred to was sent forward to its destination or next transit poin,"Prière indiquer le préfixe ou le numéro de série sur voie attribué pour ce télégramme en transit, lors de son acheminement au point de transit suivant ou à son point de destination.",Sírvase indicar prefijo o número de serie del canal utilizado para este telegrama en tránsito para su encaminamiento al punto de tránsito siguiente o a su lugar de destino.
WAJGU,decoding,,,,,Give reference.,Donnez référence.,Sírvanse dar referencia.
WALAG,decoding,,,,,Reference is correct.,Référence est correcte.,La referencia es correcta.
WALEM,decoding,,,,,Reference is wrong.,Référence est fausse.,La referencia es errónea.
WALOS,decoding,,,,,Referring to our __________.,Se référant à notre __________.,Con referencia a nuestro __________.
WALPU,decoding,,,,,Referring to your __________.,Se référant à votre __________.,Con referencia a su __________.
WEJYV,decoding,,,,,"Reference incorrect. Give number, date, time of handing in, and say by which channel/route sent.","Référence fausse. Donnez numéro, date, heure de dépôt et dites par quel canal/voie transmis.","Referencia errónea. Indiquen número, fecha y hora de depósito, y digan por qué canal/ruta se transmitió."
WOBAJ,decoding,,,,,Please obtain sender's name and address from the addressee.,Prière obtenir du destinataire nom et adresse de l’expéditeur.,Rogamos pidan destinatario nombre y dirección expedidor.
WOBMO,decoding,,,,,Sender cannot be found.,Expéditeur introuvable.,No podemos encontrar al expedidor.
XEROJ,decoding,,,,,Your service advice not understood.,Votre avis de service non compris.,No comprendemos su aviso de servicio.
YALRU,decoding,,,,,Telex subscriber __________ no longer in service.,Abonné télex __________ n’est plus en service.,Abonado télex __________ no está ya en servicio.
APHAD,coding,accounts,,,,We are debiting you.,Nous vous débitons.,Les cargamos en cuenta.
PAJAV,coding,acknowledgement_of_receipt,,,,Addressee acknowledges receipt.,Destinataire accuse réception.,Destinatario acusa recibo.
PALAM,coding,acknowledgement_of_receipt,,,,Get addressee's acknowledgement of receipt.,Demandez accusé de réception au destinataire.,Pidan acuse de recibo al destinatario.
PALIL,coding,acknowledgement_of_receipt,,,,Good delivery receipt held for __________.,Avons accusé de réception pour __________.,Tenemos acuse recibo para __________.
ASSUM,coding,addresses,Address(es),Adresse(s),Dirección(es),Cannot give better address.,Ne pouvons donner meilleure adresse.,No podemos dar mejor dirección.
ATFIX,coding,addresses,Address(es),Adresse(s),Dirección(es),Give full address.,Donnez adresse complète.,Comuniquen dirección completa.
