Name,Address,Tel,Fax,Email,URL,OB
"Conectividad Inalámbrica 7 GHz, S.A. de C.V.","Carretera Libre México Toluca, No. 5714 Piso 4
Col. Lomas de Memetla
C.P. 05330 MÉXICO, D.F.
",+52 55 8503 5000,,,,848
"Conexxión XXI, S.A. de C.V. ","Ámsterdam, No. 77
Piso 8
Col. Hipódromo Condesa
C.P. 01670 MÉXICO, D.F.
",+52 81 8389 7714,,,,848
"Controladora Satelital de México, S. de
R.L. de C.V.
","Paseo de los Tamarindos, 400 A Piso 31
Col. Bosques de las Lomas
C.P. 05120 MÉXICO, D.F.
",+52 55 5261 6200,+52 55 5261 6270,,,848
"Corporación de Telecomunicaciones Regionales, S.A. de C.V.","Contreras No. 246 despacho 303 Col. San Jerónimo
Delegación Magdalena Contreras
C.P. 10200 MÉXICO, D.F.
",+52 55 5668 0789,+52 55 5652 2917,,,848
"Corporación Nacional de Radiodeterminación, S.A. de C.V.","Río Tiber, 100
Piso 6
Col. Cuauhtemoc
C.P. 06500 MÉXICO, D.F.
",+52 55 5207 0960,+52 55 5292 2240,,,848
"Delta Comunicaciones Digitales de Nuevo León, S.A. de C.V.","Periférico Sur, No. 5452
Col. Olímpica
C.P. 04710 MÉXICO, D.F.",+52 55 5424 8000,+52 55 5424 8002,,,848
"Enlaces Integra, S. de R.L. de C.V. (antes Enlaces Satelitales, S. de R.L. de C.V.)","Blvd. Manual Ávila Camacho, 40 Piso 24
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5201 0300,+52 55 5201 0303,,,848
"Frecuencia Móvil, S.A. de C.V. ","Periférico Sur, No. 4119
Col. Fuentes del Pedregal
C.P. 14414 MÉXICO, D.F.",,,,,848
"Frecuenet, S.A. de C.V.","Pasaje Interlomas, No. 12 Col. Centro Urbano
San Fernando, La Herradura
C.P. 52787
HUIXQUILUCAN, ESTADO DE MÉXICO",,,,,848
"Global Crosing Landing Mexicana, S. de R.L.","Lago Zurich, 96
Col. Ampliación Granada
C.P. 11529 MÉXICO, D.F.
Ejercito Nacional, No. 579 Piso 9
Col. Granada
C.P. 11520 MÉXICO, D.F.",+52 55 2581 6270,+52 55 5689 5300,,,848
"Globalstar de México, S. de R.L. de C.V.","Blvd. Manuel Ávila Camacho, 40
Piso 22
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5284 0300,+52 55 5284 0329,,,848
"Grupo de Telecomunicaciones Mexicanas, S.A. de C.V.","Prolongación Paseo de la Reforma, No. 1200
Piso 18
Col. Santa Fe Cruz Manca Del. Cuajimalpa
C.P. 05348 MÉXICO, D.F.",+52 55 5806 8818,+52 55 5806 8880,,,848
"Gtel Comunicación, S.A. de C.V.","Av. Paseo de las Héroes, No. 10093 Piso 2
Zona del Río
C.P. 22320
TIJUANA, BAJA CALIFORNIA",+52 66 4635 6300,,,,848
"Inalam, S.A. de C.V.","Av. Santo Degollado, No. 909 Col. Centro
C.P. 88000
NUEVO LAREDO, TAMAULIPAS",+52 86 7713 3330,,,,848
"International Van, S.A. de C.V.","Calzada de las Armas, No. 114 A
Col. Fracc. Industrial las Armas
C.P. 54080
TLANEPANTLA, ESTADO DE MÉXICO",+52 55 5246 1200,,,,848
"Internet por Fibra, S.A. de C.V. (antes Delta Comunicaciones Digitales de Nuevo León, S.A. de C.V.) ","Periférico Sur, No. 5452
Col. Olímpica Delegación Coyoacán
C.P. 04710 MÉXICO, D.F.",+52 55 5580 1053,,,,848
"Iridium de México, S.A. de C.V.","Guillermo González Camarena, 1100 Piso 7
Col. Santa Fe
C.P. 01210 MÉXICO, D.F.",+52 55 5258 1000,+52 55 5258 1098,,,848
"Iusacell PCS, S.A. de C.V.",,+52 55 5109 5794,,,,848
"Iusatel, S.A. de C.V.","Montes Urales, No. 460 Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 5794,,,,848
"IP Matriz, S.A. de C.V.","Av. Tamaulipas #172, Casa #32 Col. Santa Lucía
C.P. 01500 MÉXICO, D.F.",+52 65 6692 1101,+52 65 6692 1112,,,848
"Larga Distancia Internacional Mexicana,
S.A. de C.V.","Jaime Balmes, 11
Plaza Comercial, Local 146 Col. Los Morales Polanco
C.P. 11510 MÉXICO, D.F.",+52 55 5580 1053,+52 55 5395 2142,,,848
"Libros Foráneos, S.A. de C.V.","Javier Mina 7 Desp. 104 Zona Río
C.P. 22320
TIJUANA, BAJA CALIFORNIA",+52 66 4684 7459,+52 66 4634 0040,,,848
"Marca Tel, S.A. de C.V.","San Jerónimo 210 Pte. Col. San Jerónimo
C.P. 64640
MONTERREY, NUEVO LEÓN
Av. Constituyentes, No. 117 Piso 3
Col. San Miguel Chapultepec Delegación Miguel Hidalgo
C.P. 11850
MÉXICO, D.F.",+52 81 8389 7777,+52 81 2614 1550,,,848
"Maxcom Telecomunicaciones, S.A. de C.V.","Guillermo González Camarena, 2000 Col. Centro Ciudad de Santa Fé Delegacion Alvaro Obregón
C.P. 01210 MÉXICO, D.F.",+52 55 5147 1111,,,,848
"Megacable Comunicaciones de México,
S.A. de C.V.","Sierra Candela, 111
Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5350 0000,,,,848
"México Red de Telecomunicaciones, S. de R.L. de C.V.","Montes Urales, No. 632 Piso 2
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5202 5054,,,,848
"Mexigulf Telecomunicaciones, S.A. de C.V.","Bosques de Ciruelos No. 304 Piso 9
Col. Bosques de las Lomas
C.P. 11700 MÉXICO, D.F.",+52 55 8503 6441,,,,848
"Metro Net, S.A. de C.V. ","Michoacán 22-B
Col. Hipódromo Condesa
C.P. 6100 MÉXICO, D.F.",+52 55 5264 4403,,,,848
"Miditel, S.A. de C.V.","Montes Urales 455
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5147 9200,,,,848
"Movitel del Noroeste, S.A. de C.V.","Prolongación Paseo de la Reforma, No.1200
Piso 18
Col. Santa Fe Cruz Manca Delegación Cuajimalpa
C.P. 05348 MÉXICO, D.F.",+52 55 1616 5000,,,,848
"Operadora de Comunicaciones, S.A. de C.V. (empresa escindida de Operadora Unefon, S.A. de C.V.)","Periférico Sur, No. 4119 Torre A
Col. Fuentes del Pedregal
C.P. 14141 MÉXICO, D.F.",+52 55 8582 5161,,,,848
"Operadora Protel, S.A. de C.V.","Monte Elbruz, 132
Piso 4
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5283 2600,+52 55 5283 2618,,,848
"Operadora Unefon, S.A. de C.V.","Periférico Sur, No. 4119
Col. Fuentes del Pedregal
C.P. 14141 MÉXICO, D.F.",+52 55 5449 5000,,,,848
"Operadora Unefon, S.A. de C.V. (UNEFON)","Periférico Sur, No. 4119 Torre A
Col. Fuentes del Pedregal
C.P. 14141 MÉXICO, D.F.",,,,,848
"Pegaso Comunicaciones y Sistemas,
S.A. de C.V. (MOVISTAR) ","Prolongación Paseo de la Reforma, No. 1200
Piso 18
Col. Santa Fe Cruz Manca Delegación Cuajimalpa
C.P. 05348 MÉXICO, D.F.",+52 55 1616 5000,,,,848
"Portatel del Sureste, S.A. de C.V.","Montes Urales, No. 460
Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 4400,,,,848
"Presto Telecomunicaciones, S.A. de C.V.","Av. Ocampo, No. 2024
Col. Centro
TIJUANA, BAJA CALIFORNIA NORTE",+52 66 4684 7001,,,,848
"Protel I-Next, S.A. de C.V.","Monte Elbruz, No. 132 Piso 4
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5283 2600,,,,848
"Punto a Punto Iusacell, S.A. de C.V.","Montes Urales, No. 460
Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 4400,,,,848
"Quetzsat, S.A. de C.V.","Insurgentes Sur, No. 1605 Piso 12
Col. San José Insurgentes
C.P. 03900 MÉXICO, D.F.",+52 55 5662 6348,+52 55 5662 6350,rrios@riosferrer.com.mx,,848
"RadioMóvil Dipsa, S.A. de C.V.","Lago Alberto No. 366
Edificio Telcel I Segundo Piso Col. Anáhuac
C.P. 11320 MÉXICO, D.F.",+52 55 5625 3700,,,,848
"Red de Servicios de Telecomunicaciones, S.A. de C.V. (Resetel)","Blvd. Manuel A. Camacho, No. 24 Piso 7
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5540 9200,,,,848
Rogelio Salcedo Leos,"Calle Río Magdalena, No. 485 Fraccionamiento Las Fuentes
C.P. 21260
MEXICALI, BAJA CALIFORNIA",,,,,848
"RSL COM NET de México, S.A. de C.V.","Jaime Balmes 11, Torre C
Piso 10
Col. Polanco los Morales
C.P. 011510
MÉXICO, D.F.",+52 55 5279 4600 / +52 55 5580 4600,+52 55 5580 5723,,,848
"Satélites Mexicanos, S.A. de C.V.","Rodolfo Gaona, No. 86
Piso 4
Col. Lomas de Sotelo
Delegación Miguel Hidalgo
C.P. 11200
MÉXICO, D.F.",+52 55 2629 5901,+52 55 2629 5800,ochoac@satmex.com,,848
"Servicios de Acceso Inalámbricos, S.A. de C.V. (SAI)","Monte Pelvoux, No. 111 Piso 1
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5326 8693,,,,848
"Sistemas de Monitoreo, Localización y Seguimiento, S.A. de C.V.","Portal Madera No. 216 – 302 Col. Centro
C.P. 05000
TOLUCA, ESTADO DE MÉXICO",,,,,848
"Sistemas Satelitales de México, S.A. de R.L. de C.V.","Insurgentes Sur, No. 1605, Piso 12
Col. San José Insurgentes
C.P. 03900
MÉXICO, D.F.
Av. Prolongación Reforma 490 Col. Santa Fe
C.P. 01217 MÉXICO, D.F.",+52 55 5662 6348 / +52 55 5257 6194,+52 55 5662 6350,,,848
"Sistemas Telefónicos Portátiles Celulares, S.A. de C.V.","Montes Urales, No. 460 Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 4400,,,,848
"SOS Telecomunicaciones, S.A. de C.V.","Montes Urales, No. 460
Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 4400,,,,848
"Spacenet Communications Services de
México, S.A. de C.V. (antes GE Capital
Spacenet Communications Services de
México, S.A. de C.V.)","Av. México, No. 803
Col. Santa Teresa
Delegación Magdalena Contreras
C.P. 10710
MÉXICO, D.F.
",+52 55 5449 4800,+52 55 5449 4810,,,848
"Startel, S.A. de C.V.","Cuauhtémoc, No. 9460 Fraccionamiento Azteca
C.P. 225900
TIJUANA, BAJA CALIFORNIA",+52 66 4625 8001,,,,848
"Tecnología de Comunicaciones Avanzadas, S.A. de C.V.","Blvd. Tomás Fernández, No. 7930 Piso 2
Fraccionamiento Campestre Juárez
C.P. 32460
Cd. JUÁREZ, CHIHUAHUA",+52 65 6629 0626,,,,848
"Telecom Net., S.A. de C.V.","Calzada Justo Sierra, No. 567 Col. Nueva
C.P. 211100
MEXICALI, BAJA CALIFORNIA",+52 68 6553 4444,,,,848
"Telecomunicaciones de México
(TELECOMM)","Eje Central Lázaro Cárdenas, No. 567
Col. Narvarte
Delegación Benito Juárez
C.P. 03020
MÉXICO, D.F.",+52 55 5090 1418,+52 55 1035 2354,lalonso@telecomm.net.mx,,848
"Telecomunicaciones de Pueblo, S.A. de C.V.","Carretera México Toluca, No. 1725 Locales B4 y B5
Col. Palo Alto
C.P. 11510 MÉXICO, D.F.",+52 55 5570 5850 / +52 55 5259 8501,,,,848
Telecomunicaciones para redes Andrés de la Concha,"#12
Col. San José Insurgentes
C.P. 03900 MÉXICO, D.F.",+52 55 5596 8864,+52 55 5251 4470,,,848
"Telecomunicaciones del Golfo, S.A. de C.V.","Montes Urales, No. 460 Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.",+52 55 5109 4400,,,,848
"Telefonía Celular del Norte, S.A. de C.V.","Prolongación Paseo de la Reforma, No. 1200
Piso 18
Col. Santa Fe Cruz Manca Delegación Cuajimalpa
C.P. 05348 MÉXICO, D.F.",+52 55 1616 5000,,,,848
"Telefónica Data México, S.A. de C.V.","Blvd. M. Ávila Camacho, No. 24
Piso 16
Col. Lomas de Chapultepec
C.P. 11000 MÉXICO, D.F.",+52 55 5249 9999 / +52 55 5249 9990,,,,848
"Teléfonos de México, S.A. de C.V.","Av. Parque Vía, 190
Col. Cuauhtémoc
C.P. 06599 MÉXICO, D.F.","+52 55 5222 1212 / +52 55 5222 1310 / +52 55 5222 5178
",,,,848
"Teléfonos del Noroeste, S.A. de C.V.","Av. Pio Pico, No. 2101
Zona Río
C.P. 22000
TIJUANA, BAJA CALIFORNIA",+52 66 4633 2753,,,,848
"Teléfonos del Noroeste, S.A. de C.V.","Parque Vía, No. 190 Col. Cuauhtémoc
C.P. 06599 MÉXICO, D.F.",+52 55 5222 2005,,,,848
"Telereuníon, S.A. de C.V. ","Floresta, No. 185
Col. El Recreo Delegación Azcapotzalco
C.P. 02070 MÉXICO, D.F.",+52 55 5347 0026,+52 55 5347 0034,,,848
"Unefrecuencias, S.A. de C.V.","Periférico Sur, No. 4119
Col. Fuentes del Pedregal
C.P. 14414
MÉXICO, D.F.",,,,,848
"Unión Telefónica Nacional, S.A. de C.V.","Gobernador Ignacio Esteva 54/B
Col. San Miguel Chapultepec
C.P. 11850
MÉXICO, D.F.",+52 55 5271 1455,+52 55 5271 1435,,,848
"Unión Telefónica y Televisiva, S.A. de C.V.","Privada Pino Suárez, No. 300 Edificio Confía
Piso 8
C.P. 64000
MONTERREY, NUEVO LEÓN",,,,,848
"VPN de México, S.A. de C.V.","Älvaro Obregón, 121-801 Col. Roma
C.P. 06700 MÉXICO, D.F.",+52 55 5511 5202,,,,848
"W.L. Comunicaciones, S.A. de C.V.","Bosques de Duraznos, No. 69
Piso 9, Torre A
Col. Bosque de las Lomas
C.P. 11700 MÉXICO, D.F.",+52 55 5251 1092 / +52 55 5049 3108,,wlcom@terra.com.mx,,848
