1a,1b,2,3,4a,4b,4c
122 01,ATHENS EGALEO,+30 21 059 09300,3/2,0730-1415,-,-
166 01,ATHENS GLYFADA,+30 21 089 80774,3/2,0730-1415,-,-
102 00,ATHENS K,+30 21 032 11489 +30 21 032 16029,3/2,0730-2000,0730-1415,-
176 01,ATHENS KALLITHEA,+30 21 095 13754,3/2,0730-1415,-,-
101 00,ATHENS KDA,+30 21 052 25492,3/2,0730-2000,-,-
160 00,ATHENS KD KESSARIANI,+30 21 076 44911,3/2,0730-2000,-,-
120 00,ATHENS KD PERISTERIA,+30 21 057 29197,3/2,0730-2000,-,-
145 01,ATHENS KIFISSIA,+30 21 080 10677,3/2,0730-1415,-,-
143 01,ATHENS N FILADELFIA,+30 21 025 22234 +30 21 025 10942,3/2,0730-1415,-,-
184 01,ATHENS NIKEA,+30 21 049 23945,3/2,0730-1415,-,-
142 01,ATHENS N IONIA,+30 21 027 92777,3/2,0730-1415,-,-
171 01,ATHENS N SMYRNI,+30 21 093 58700,3/2,0730-1415,-,-
156 01,ATHENS PAPAGOS,+30 21 065 35703,3/2,0730-1415,-,-
175 01,ATHENS P FALIRO,+30 21 098 12726,3/2,0730-1415,-,-
177 01,ATHENS TAYROS,+30 21 034 24625,3/2,0730-1415,-,-
112 01,ATHINA 12,+30 21 086 78820,3/2,0730-1415,-,-
100 09,ATHINA 44,+30 21 052 33636,3/2,0730-1415,-,-
117 02,ATHINA 171,+30 21 092 33645,3/2,0730-1415,-,-
341 00,CHALKIDA,+30 2221 029766,3/2,0730-1415,-,-
731 00,CHANIA,+30 2821 041360,3/2,0730-2000,-,-
821 00,CHIOS,+30 2271 025982,3/2,0730-1415,-,-
642 00,CHRISSOUPOLI,+30 2591 022007,3/2,0730-1415,-,-
172 01,DAFNI ATTIKIS,+30 21 097 13731,3/2,0730-1415,-,-
330 54,DELFI,+30 2265 082794,3/2,0730-1415,-,-
683 00,DIDIMOTICHO,+30 2553 024324,3/2,0730-1415,-,-
661 00,DRAMA,+30 2521 022324,3/2,0730-1415,-,-
582 00,EDESSA,+30 2381 023280,3/2,0730-1415,-,-
180 10,EGINA,+30 2297 024742,3/2,0730-1415,-,-
251 00,EGIO,+30 2691 027198,3/2,0730-1415,-,-
192 00,ELEFSINA,+30 21 055 49123,3/2,0730-1415,-,-
641 00,ELEFTHER UPOLI,+30 2592 022162,3/2,0730-1415,-,-
531 00,FLORINA,+30 2385 024800,3/2,0730-1415,-,-
111 02,GALATSI,+30 21 022 23380,3/2,0730-1415,-,-
521 00,GIANNITSA,+30 2382 023333,3/2,0730-1415,-,-
511 00,GREVENA,+30 2462 022833,3/2,0730-1415,-,-
232 00,GYTHIO,+30 2733 022150,3/2,0730-1415,-,-
167 01,HELLINIKO,+30 21 096 47728,3/2,0730-1415,-,-
722 00,IERAPETRA,+30 2842 024004,3/2,0730-1415,-,-
461 00,IGOUMENITSA,+30 2665 025135,3/2,0730-1415,-,-
163 01,ILIOUPOLIS,+30 2199 061720,3/2,0730-1415,-,-
450 01,IOANNINA,+30 2651 021747,3/2,0730-2000,-,-
710 01,IRAKLIO KR,+30 281 0282276,3/2,0730-2000,-,-
332 00,ITEA,+30 2265 033104,3/2,0730-1415,-,-
283 00,ITHAKI,+30 2674 033189,3/2,0730-1415,-,-
241 00,KALAMATA,+30 2721 020422,3/2,0730-1415,-,-
422 00,KALAMPAKA,+30 2432 025071,3/2,0730-1415,-,-
852 00,KALYMNOS,+30 2243 022107,3/2,0730-1415,-,-
350 08,KAMENA VOURLA,+30 2235 024100,3/2,0730-1415,-,-
431 00,KARDITSA,+30 2441 021901,3/2,0730-1415,-,-
832 00,KARLOVASI,+30 2273 034871,3/2,0730-1415,-,-
857 00,KARPATHOS,+30 2245 022888,3/2,0730-1415,-,-
361 00,KARPENISSI,+30 2237 024342,3/2,0730-1415,-,-
630 77,KASSANDRA,+30 2374 023704,3/2,0730-1415,-,-
521 00,KASTORIA,+30 2467 022645,3/2,0730-1415,-,-
601 00,KATERINI,+30 2351 035000,3/2,0730-1415,-,-
650 01,KAVALA,+30 251 0832222,3/2,0730-2000,-,-
491 00,KERKYRA,+30 2661 043507,3/2,0730-2000,-,-
202 00,KIATO,+30 2742 025628,3/2,0730-1415,-,-
611 00,KILKIS,+30 2341 024844,3/2,0730-1415,-,-
691 00,KOMOTINI,+30 2531 025146,3/2,0730-1415,-,-
181 01,KORIDALLOS,+30 21 05391787,3/2,0730-1415,-,-
201 00,KORINTHOS,+30 2741 020878,3/2,0730-1415,-,-
853 00,KOS,+30 2242 024500,3/2,0730-1415,-,-
501 00,KOZANI,+30 2461 034923,3/2,0730-1415,-,-
801 00,KYTHIRA,+30 2735 031500,3/2,0730-1415,-,-
572 00,LAGADAS,+30 2394 023111,3/2,0730-1415,-,-
351 00,LAMIA,+30 2231 033727,3/2,0730-2000,-,-
410 01,LARISSA,+30 241 0250170,3/2,0730-2000,-,-
195 00,LAVRIO,+30 2292 026206,3/2,0730-1415,-,-
311 00,LEFKADA,+30 2645 024747,3/2,0730-1415,-,-
854 00,LEROS,+30 2247 023551,3/2,0730-1415,-,-
321 00,LEVADIA,+30 2261 025229,3/2,0730-1415,-,-
640 02,LIMENARIA THASSOU,+30 2593 052142,3/2,0730-1415,-,-
343 00,LUTRA EDIPSU,+30 2226 022252,3/2,0730-1415,-,-
222 00,MEGALOPOLI,+30 2791 022560,3/2,0730-1415,-,-
191 00,MEGARA,+30 2296 026567,3/2,0730-1415,-,-
302 00,MESSOLOGI,+30 2631 025585,3/2,0730-1415,-,-
442 00,METSOVO,+30 2656 041361,3/2,0730-1415,-,-
848 00,MILOS,+30 2287 021155,3/2,0730-1415,-,-
704 00,MIRES,+30 2892 022238,3/2,0730-1415,-,-
846 00,MYKONOS,+30 2289 023941,3/2,0730-1415,-,-
814 00,MYRINA,+30 2254 022 706,3/2,0730-1415,-,-
811 00,MYTILINI,+30 2251 020 968,3/2,0730-1415,-,-
303 00,NAFPAKTOS,+30 2634 023 377,3/2,0730-1415,-,-
211 00,NAFPLIO,+30 2752 022 287,3/2,0730-1415,-,-
592 00,NAUSSA,+30 2332 023 603,3/2,0730-1415,-,-
843 00,NAXOS,+30 2285 023 299,3/2,0730-1415,-,-
567 01,NEAPOLI THESSAL.,+30 231 0612600,3/2,0730-1415,-,-
682 00,ORESTIADA,+30 2552 023825,3/2,0730-1415,-,-
320 03,PARALIA DISTOMOU,+30 2267 041215,3/2,0730-1415,-,-
480 60,PARGA,+30 2684 031870,3/2,0730-1415,-,-
844 00,PAROS,+30 2284 022449,3/2,0730-1415,-,-
855 00,PATMOS,+30 2247 031980,3/2,0730-1415,-,-
260 00,PATRA,+30 261 0272862,3/2,0730-2000,-,-
630 85,PEFKOHORI,+30 2374 061354,3/2,0730-1415,-,-
185 01,PIREAS,+30 21 04120391,3/2,0730-2000,-,-
631 00,POLYGYROS,+30 2371 023282,3/2,0730-1415,-,-
180 20,POROS,+30 2298 023451,3/2,0730-1415,-,-
481 00,PREVEZA,+30 2682 028296,3/2,0730-1415,-,-
502 00,PTOLEMAIDA,+30 2463 025486,3/2,0730-1415,-,-
240 01,PYLOS,+30 2723 023267,3/2,0730-1415,-,-
271 00,PYRGOS,+30 2621 029676,3/2,0730-1415,-,-
741 00,RETHIMNO,+30 2831 022571,3/2,0730-1415,-,-
851 00,RODOS,+30 2241 035756,3/2,0730-2000,-,-
189 00,SALAMINA,+30 21 04655544,3/2,0730-1415,-,-
831 00,SAMOS,+30 2273 028503,3/2,0730-1415,-,-
680 02,SAMOTHRAKI,+30 2551 041640,3/2,0730-1415,-,-
621 00,SERRES,+30 2321 029753,3/2,0730-1415,-,-
503 00,SIATISTA,+30 2465 021300,3/2,0730-1415,-,-
723 00,SITIA,+30 2843 025350,3/2,0730-1415,-,-
230 51,SKALA LAKONIAS,+30 2735 023373,3/2,0730-1415,-,-
730 02,SKIATHOS,+30 2427 021734,3/2,0730-1415,-,-
340 07,SKYROS,+30 2222 091884,3/2,0730-1415,-,-
231 00,SPARTI,+30 2731 026407,3/2,0730-1415,-,-
180 50,SPETSES,+30 2298 073101,3/2,0730-1415,-,-
353 00,STILIDA,+30 2238 023973,3/2,0730-1415,-,-
684 00,SUFLI,+30 2554 022447,3/2,0730-1415,-,-
841 00,SYROS,+30 2281 024258,3/2,0730-1415,-,-
640 04,THASSOS,+30 2593 023144,3/2,0730-1415,-,-
540 06,THESSALONIKI 17,+30 231 0214624,3/2,0730-1415,-,-
540 02,THESSALONIKI 18,+30 231 0538691,3/2,0730-1415,-,-
540 01,THESSALONIKI 19,+30 231 0529819,3/2,0730-1415,-,-
540 12,THESSALONIKI 20,+30 231 0543590,3/2,0730-2000,-,-
540 13,THESSALONIKI 21,+30 231 0227274,3/2,0730-1415,-,-
540 14,THESSALONIKI 22,+30 231 0842670,3/2,0730-1415,-,-
544 01,THESSALONIKI 44,+30 231 0906020,3/2,0730-1415,-,-
541 01,THESSALONIKI K ,+30 231 0224752 +30 231 0263209,3/2,0730-2000,0730-1415,0900-1300
551 01,THESSALONIKI KALAMARIA,+30 231 0422646,3/2,0730-1415,-,-
560 00,THESSALONIKI KD,+30 231 0651700,3/2,0730-1415,-,-
847 00,THIRA,+30 2286 022698,3/2,0730-1415,-,-
322 00,THIVA,+30 2262 024646,3/2,0730 1415,-,-
842 00,TINOS,+30 2283 023787,3/2,0730-1415,-,-
421 00,TRIKALA,+30 2431 024347,3/2,0730-1415,-,-
221 00,TRIPOLI,+30 271 0226203,3/2,0730-1415,-,-
702 00,TYMPAKI,+30 2892 051683,3/2,0730-1415,-,-
591 00,VERIA,+30 2331 023444,3/2,0730-1415,-,-
380 01,VOLOS,+30 2421 036300,3/2,0730-2000,-,-
671 00,XANTHI,+30 2541 027757,3/2,0730-1415,-,-
204 00,XYLOKASTRO,+30 2743 023833,3/2,0730-1415,-,-
180 40,YDRA,+30 2298 053398,3/2,0730-1415,-,-
291 00,ZAKYNTHOS,+30 2695 025127,3/2,0730-1415,-,-
