AFGHANISTAN,AFGHANISTAN,AFGANISTÁN,,,,,,,"GOVT – Ministry of Communications and Information Technology, Kabul",,,,AF- -,,,,All others,Tous les autres,Todos los otros,AFKX,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Bajram Curri,Bajram Curri,Bajram Curri,ABBC,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Berat,Berat,Berat,ABBR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Burrel,Burrel,Burrel,ABMT,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Durres,Durres,Durres,ABDR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Elbasan,Elbasan,Elbasan,ABEL,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Fier,Fier,Fier,ABFR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Gjirokaster,Gjirokaster,Gjirokaster,ABGJ,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Korce,Korce,Korce,ABKO,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Kruje,Kruje,Kruje,ABKR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Kukes,Kukes,Kukes,ABKU,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Lushnje,Lushnje,Lushnje,ABLU,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Peshkopi,Peshkopi,Peshkopi,ABDI,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Rreshen,Rreshen,Rreshen,ABMR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Shkoder,Shkoder,Shkoder,ABSH,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,TIRANE,TIRANE,TIRANE,ABTR,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,Vlore,Vlore,Vlore,ABVL,,,,
ALBANIE,ALBANIA,ALBANIA,,,,,,,"GOVT – Electronic and Postal Communications Authority, Tirana",,,,AB- -,,,,All others,Tous les autres,Todos los otros,ABTX,,,,
ALGÉRIE,ALGERIA,ARGELIA,,,,,,,"GOVT – Ministère de la poste et des technologies de l’information et de la communication, Alger",,,,DZ- -,,,,Alger,Alger,Alger,DZAL,,,,
ALGÉRIE,ALGERIA,ARGELIA,,,,,,,"GOVT – Ministère de la poste et des technologies de l’information et de la communication, Alger",,,,DZ- -,,,,Constantine,Constantine,Constantine,DZCO,,,,
ALGÉRIE,ALGERIA,ARGELIA,,,,,,,"GOVT – Ministère de la poste et des technologies de l’information et de la communication, Alger",,,,DZ- -,,,,Oran,Oran,Oran,DZOR,,,,
ALGÉRIE,ALGERIA,ARGELIA,,,,,,,"GOVT – Ministère de la poste et des technologies de l’information et de la communication, Alger",,,,DZ- -,,,,All others,Tous les autres,Todos los otros,DZAX,,,,
ALLEMAGNE ,GERMANY,ALEMANIA,,,,,,,"Unitel, Alteveer1)",1) The telegram service is no longer accepted by Deutsche Telekom AG in Germany since 1.I.2001. See ITU Operational Bulletin No. 723 of 1.IX.2000 and ITU Operational Bulletin No. 751 of 1.XI.2001.,1) Le service des télégrammes n’est plus accepté par Deutsche Telekom AG depuis le 1.I.2001 en Allemagne. Voir le Bulletin d’exploitation de l’UIT N° 723 du 1.IX.2000 et le Bulletin d’exploitation de l’UIT N° 751 du 1.XI.2001. ,1) El servicio de telegramas deja de aceptarse por Deutsche Telecom AG desde el 1.I.2002 en Alemania. Véase el Boletín de Explotación de la UIT N.° 723 del 1.IX.2000 y el Boletín de Explotación de la UIT N.° 751 del 1.XI.2001.,DP- -,,,,All destinations,Toutes destinations,Todos los destinos,DPXX,,,,
ALLEMAGNE ,GERMANY,ALEMANIA,,,,,,,Telegramm Services2),2) See Operational Bulletin No. 949 of 1.II.2010,2) Voir le Bulletin d’exploitation No. 949 du 1.II.2010.,2) Véase el Boletín de explotación No. 949 del 1.II.2010.,DD- -,,,,All destinations,Toutes destinations,Todos los destinos,DDXX,,,,
ANDORRE1),ANDORRA1),ANDORRA1),,,,,,,"GOVT – Servei de Telecomunicacions d’Andorra, Andorra la Vella","1) Telegrams for Andorra may be routed via France or via Spain. The list of either country should therefore be consulted, depending on the routing desired.","1) Les télégrammes destinés à Andorre peuvent être acheminés soit par la France, soit par l'Espagne. Selon l'acheminement désiré, il convient donc de consulter les listes respectives de ces pays.","1) Los telegramas destinados a Andorra pueden encaminarse por Francia o por España. Según el encaminamiento deseado, conviene pues consultar las listas respectivas de esos países.",AD 2),2) For telex service. ,2) Voir le Bulletin d’exploitation No. 949 du 1.II.2010.,2) Para el servicio télex. ,,,,,,,,
ANGOLA,ANGOLA,ANGOLA,,,,,,,"GOVT – Ministry of Telecommunications and Information Technology, Luanda",,,,AN - -,,,,,,,,,,,
ANGOLA,ANGOLA,ANGOLA,,,,,,,"GOVT – Ministry of Telecommunications and Information Technology, Luanda",,,,AN - -,,,,All destinations,Toutes destinations,Todos los destinos,ANXX,,,,
ANGUILLA,ANGUILLA,ANGUILLA,,,,,,,"C&W (WI) – Cable & Wireless (West Indies) Ltd, The Valley",,,,LA- -,,,,,,,,,,,
ANGUILLA,ANGUILLA,ANGUILLA,,,,,,,"C&W (WI) – Cable & Wireless (West Indies) Ltd, The Valley",,,,LA- -,,,,All destinations,Toutes destinations,Todos los destinos,LAXA,,,,
ANTIGUA-ET-BARBUDA,ANTIGUA AND BARBUDA,ANTIGUA Y BARBUDA,,,,,,,,,,,AK- -1),"1) The telegram service is no longer accepted and the telegram destination indicator has been deleted since 1.X.1997. However, the two-letter code “AK” remains reserved.","1) Le service des télégrammes n’est plus accepté et l’indicateur de destination des télégrammes a été supprimé depuis le 1.X.1997. Toutefois, le code en deux lettres «AK» reste réservé.","1) El servicio de telegramas deja de aceptarse y el indicador de destino de telegramas ha sido suprimido desde el 1.X.1997. Sin embargo, el código de dos letras «AK» sigue reservado.",,,,,,,,
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,,,,,,,,
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,Dammam (al),Dammam (al),Dammam (al),SJDM,"Via Dammam (al): The same destination indicator ""SJDM"" is used  for telegrams routed via Dammam (al) and destined to the following offices:
Abqaiq, Ar Ar, Assafiyah, Dammam Coastal Station, Dhahran (al), Domat Al Jandal, Haditha (al), Hafouf (al), Hair (al), Harad, Hazm Al Jalamid, Isawiyah, Jarani, Joff Sakaka (al), Jubail (al), Judayidah, Kasib, Khafji (al), Khobar (al), Lawqah, Linah, Mughayra, Naaria, Nisab, Qaisumah (al), Qarya, Qatif (al), Qurayyat, Rafha, Ras Tannura, Rawdat Habbas, Ruqai (al), Safwa, Sahan, Salwa, Samah, Samudah, Shubah, Sihat, Tabarjal, Talat Attimyat, Thaniyat Um Nukhaylah, Turaif, Um Addiyan, Um Rodmah, Uwaqilah. (i) Seasonal Opening. (ii) Main Telegraph Office. ","Via Dammam (al): Le même indicateur de destination «SJDM» est utilisé pour les télégrammes acheminés via Dammam (al) et destinés aux bureaux suivants: Abqaiq, Ar Ar, Assafiyah, Dammam Coastal Station, Dhahran (al), Domat Al Jandal, Haditha (al), Hafouf (al), Hair (al), Harad, Hazm Al Jalamid, Isawiyah, Jarani, Joff Sakaka (al), Jubail (al), Judayidah, Kasib, Khafji (al), Khobar (al), Lawqah, Linah, Mughayra, Naaria, Nisab, Qaisumah (al), Qarya, Qatif (al), Qurayyat, Rafha, Ras Tannura, Rawdat Habbas, Ruqai (al), Safwa, Sahan, Salwa, Samah, Samudah, Shubah, Sihat, Tabarjal, Talat Attimyat, Thaniyat Um Nukhaylah, Turaif, Um Addiyan, Um Rodmah, Uwaqilah. (i) Ouverture saisonnière. (ii) Bureau télégraphique principal.","Via Dammam (al): El mismo indicador de destino ""SJDM"" se utiliza para los telegramas encaminados vía Dammam (al) y destinados a las oficinas siguientes: Abqaiq, Ar Ar, Assafiyah, Dammam Coastal Station, Dhahran (al), Domat Al Jandal, Haditha (al), Hafouf (al), Hair (al), Harad, Hazm Al Jalamid, Isawiyah, Jarani, Joff Sakaka (al), Jubail (al), Judayidah, Kasib, Khafji (al), Khobar (al), Lawqah, Linah, Mughayra, Naaria, Nisab, Qaisumah (al), Qarya, Qatif (al), Qurayyat, Rafha, Ras Tannura, Rawdat Habbas, Ruqai (al), Safwa, Sahan, Salwa, Samah, Samudah, Shubah, Sihat, Tabarjal, Talat Attimyat, Thaniyat Um Nukhaylah, Turaif, Um Addiyan, Um Rodmah, Uwaqilah. (i)  Apertura estacional. (ii) Oficina telegráfica principal.",
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,Jeddah,Jeddah,Jeddah,SJJE,"Via Jeddah: The same destination indicator ""SJJE"" is used  for telegrams routed via Jeddah and destined to the following offices: 
Abar Ali (Wireless Station), Abu Diba, Abu Raqah, Adham, Air Base King Khalid Road, Al Kurr, Al Seddiq, Anbariyah Sea Pilgrim (Medina) (i), Aqiq, Ardiyah Al Janoubiyah, Ardiyah Al Shamaliyah, Arn, Attawla, Ayiss, Badr Hunayn, Baha (ii), Bahrah, Bani Hassan, Bani Kabir, Bani Saad, Bdaa, Birk, Daws, Disah, Duba, Faqir, Ghamid Al Zinad, Gharif, Hadad (Bani Malik), Hajj Air Port Terminal (i), Hajrah, Hanakyah, Haql, Hawiyah, Helaat Ammar, Hisu, Ishash, Khaybar, Khulays, Khuraybah, Khurmah, King Abdul Aziz Air Port, Land Pilgrim Str. (Medina) (i), Madinah Almonawwarah (al), Mahani, Mahd Ad Dhahab, Mahjar, Mandaq, Maqni, Maysan, Medina (ii), Medinah (al) voir/see/véase:  Madinah Almonawwarah (al), Medina (Islamic University), Mikhwah, Mushrfah, Muwayh, Nukhayl, Qalibah, Qalwah, Qari (Bani Malik), Quba (i), Qunfudah, Rabigh, Ranyah, Rowais, Shaghab, Shara, Shibahah, Shuwaq, Suwayriqiyah, Tabuk, Taif (ii), Tayama, Tayma, Thaghr, Thaqeef, Tharb, Thoul, Turabah, Ula, Umluj, Wajh, Wajh (al) , Yanboo, Zalim. (i) Seasonal Opening. (ii) Main Telegraph Office. ","Via Jeddah:  Le même indicateur de destination «SJJE» est utilisé pour les télégrammes acheminés via Jeddah et destinés aux bureaux suivants: Abar Ali (Wireless Station), Abu Diba, Abu Raqah, Adham, Air Base King Khalid Road, Al Kurr, Al Seddiq, Anbariyah Sea Pilgrim (Medina) (i), Aqiq, Ardiyah Al Janoubiyah, Ardiyah Al Shamaliyah, Arn, Attawla, Ayiss, Badr Hunayn, Baha (ii), Bahrah, Bani Hassan, Bani Kabir, Bani Saad, Bdaa, Birk, Daws, Disah, Duba, Faqir, Ghamid Al Zinad, Gharif, Hadad (Bani Malik), Hajj Air Port Terminal (i), Hajrah, Hanakyah, Haql, Hawiyah, Helaat Ammar, Hisu, Ishash, Khaybar, Khulays, Khuraybah, Khurmah, King Abdul Aziz Air Port, Land Pilgrim Str. (Medina) (i), Madinah Almonawwarah (al), Mahani, Mahd Ad Dhahab, Mahjar, Mandaq, Maqni, Maysan, Medina (ii), Medinah (al) voir/see/véase:  Madinah Almonawwarah (al), Medina (Islamic University), Mikhwah, Mushrfah, Muwayh, Nukhayl, Qalibah, Qalwah, Qari (Bani Malik), Quba (i), Qunfudah, Rabigh, Ranyah, Rowais, Shaghab, Shara, Shibahah, Shuwaq, Suwayriqiyah, Tabuk, Taif (ii), Tayama, Tayma, Thaghr, Thaqeef, Tharb, Thoul, Turabah, Ula, Umluj, Wajh, Wajh (al) , Yanboo, Zalim. (i) Ouverture saisonnière. (ii) Bureau télégraphique principal.","Via Jeddah: El mismo indicador de destino  ""SJJE"" se utiliza para los telegramas encaminados vía Jeddah y destinados a las oficinas siguientes: Abar Ali (Wireless Station), Abu Diba, Abu Raqah, Adham, Air Base King Khalid Road, Al Kurr, Al Seddiq, Anbariyah Sea Pilgrim (Medina) (i), Aqiq, Ardiyah Al Janoubiyah, Ardiyah Al Shamaliyah, Arn, Attawla, Ayiss, Badr Hunayn, Baha (ii), Bahrah, Bani Hassan, Bani Kabir, Bani Saad, Bdaa, Birk, Daws, Disah, Duba, Faqir, Ghamid Al Zinad, Gharif, Hadad (Bani Malik), Hajj Air Port Terminal (i), Hajrah, Hanakyah, Haql, Hawiyah, Helaat Ammar, Hisu, Ishash, Khaybar, Khulays, Khuraybah, Khurmah, King Abdul Aziz Air Port, Land Pilgrim Str. (Medina) (i), Madinah Almonawwarah (al), Mahani, Mahd Ad Dhahab, Mahjar, Mandaq, Maqni, Maysan, Medina (ii), Medinah (al) voir/see/véase:  Madinah Almonawwarah (al), Medina (Islamic University), Mikhwah, Mushrfah, Muwayh, Nukhayl, Qalibah, Qalwah, Qari (Bani Malik), Quba (i), Qunfudah, Rabigh, Ranyah, Rowais, Shaghab, Shara, Shibahah, Shuwaq, Suwayriqiyah, Tabuk, Taif (ii), Tayama, Tayma, Thaghr, Thaqeef, Tharb, Thoul, Turabah, Ula, Umluj, Wajh, Wajh (al) , Yanboo, Zalim. (i)  Apertura estacional. (ii) Oficina telegráfica principal.",
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,Makkah Almokarramah,Makkah Almokarramah,Makkah Almokarramah,SJME,"Via Makkah Almokarramah: The same destination indicator  ""SJME"" is used  for telegrams routed via Makkah Almokarramah and destined to the following offices:
Al Jamoom, Al Kariq, Al Sharaye, Al Umra, Kamil, Lith, Madrakah, Mecca voir/see/véase: Makkah Almokarramah, Midan Al Ghazawi, Suq Al Arab Mina. (i) Seasonal Opening. (ii) Main Telegraph Office. (i) Seasonal Opening. (ii) Main Telegraph Office. ","Via Makkah Almokarramah: Le même indicateur de destination «SJME» est utilisé pour les télégrammes acheminés via Makkah Almokarramah et destinés aux bureaux suivants:  Al Jamoom, Al Kariq, Al Sharaye, Al Umra, Kamil, Lith, Madrakah, Mecca voir/see/véase: Makkah Almokarramah, Midan Al Ghazawi, Suq Al Arab Mina. (i) Ouverture saisonnière. (ii) Bureau télégraphique principal.","Via Makkah Almokarramah: El mismo indicador de destino ""SJME"" se utiliza para los telegramas encaminados via Makkah Almokarramah y destinados a las oficinas siguientes: Al Jamoom, Al Kariq, Al Sharaye, Al Umra, Kamil, Lith, Madrakah, Mecca voir/see/véase: Makkah Almokarramah, Midan Al Ghazawi, Suq Al Arab Mina. (i)  Apertura estacional. (ii) Oficina telegráfica principal.",
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,Abha (ii),Abha (ii),Abha (ii),SJAB,"Via Abha: The same destination indicator ""SJAB"" is used  for telegrams routed via  Abha and destined to the following offices: 
Abu Arish, Ahad Rofiaidah, Ain Qhtan (Al Ain), Alab, Amwah, Arin, Badr Al Janoub, Balasmar, Bani Amr, Bani Malik (Jizan), Bariq, Bashiir, Bashoot, Biash, Bilqarn, Bishah, Dharan Al Janoub, Farasan (Island), Farshah, Fatihah, Habuna, Hussayniyah, Jizan (ii), Khadra, Khamis Mushait, Khamis Mutayr, Khatham, Khaybar Al Janoub, Maddah, Majardah, Muhayil, Muwassam, Najran (ii), Nimas, Qena Al Bahr, Rayth, Rijal Al Maa (Shaabeen), Sabia, Samitah, Sharorah, Sorat Abidah, Tanumah, Tathleeth, Wadi Bani Hashbal, Yara, Yedemah. (i) Seasonal Opening. (ii) Main Telegraph Office. ","Via Abha: Le même indicateur de destination «SJAB» est utilisé pour les télégrammes acheminés via Abha et destinés aux bureaux suivants:
Abu Arish, Ahad Rofiaidah, Ain Qhtan (Al Ain), Alab, Amwah, Arin, Badr Al Janoub, Balasmar, Bani Amr, Bani Malik (Jizan), Bariq, Bashiir, Bashoot, Biash, Bilqarn, Bishah, Dharan Al Janoub, Farasan (Island), Farshah, Fatihah, Habuna, Hussayniyah, Jizan (ii), Khadra, Khamis Mushait, Khamis Mutayr, Khatham, Khaybar Al Janoub, Maddah, Majardah, Muhayil, Muwassam, Najran (ii), Nimas, Qena Al Bahr, Rayth, Rijal Al Maa (Shaabeen), Sabia, Samitah, Sharorah, Sorat Abidah, Tanumah, Tathleeth, Wadi Bani Hashbal, Yara, Yedemah. (i) Ouverture saisonnière. (ii) Bureau télégraphique principal.","Via Abha : El mismo indicador de destino ""SJAB"" se utiliza para los telegramas encaminados vía Abha y destinados a las siguientes oficinas: Abu Arish, Ahad Rofiaidah, Ain Qhtan (Al Ain), Alab, Amwah, Arin, Badr Al Janoub, Balasmar, Bani Amr, Bani Malik (Jizan), Bariq, Bashiir, Bashoot, Biash, Bilqarn, Bishah, Dharan Al Janoub, Farasan (Island), Farshah, Fatihah, Habuna, Hussayniyah, Jizan (ii), Khadra, Khamis Mushait, Khamis Mutayr, Khatham, Khaybar Al Janoub, Maddah, Majardah, Muhayil, Muwassam, Najran (ii), Nimas, Qena Al Bahr, Rayth, Rijal Al Maa (Shaabeen), Sabia, Samitah, Sharorah, Sorat Abidah, Tanumah, Tathleeth, Wadi Bani Hashbal, Yara, Yedemah. (i)  Apertura estacional. (ii) Oficina telegráfica principal.
",
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,Riyadh (al),Riyadh (al),Riyadh (al),SJRI,"Via Riyadh (al): The same destination indicator ""SJRI"" is used  for telegrams routed via Riyadh (al) and  destined to the following offices: 
Ad Dawadmi, Ad Dilam, Afif, Al Artawiyah, Al Asyah (Ayn Bin Fuhayd), Al Bukayriyah, Al Diriyah, Al Ghat, Al Hariq, Al Hayit, Al Khabra, Al Kharj, Al Majmaah, Al Mudhnab, Al Quwayiah, Al Ulaya, Ar Rass, Ar Rayn, Baqaa Al Lowaimi, Buraydah (Qasim), Durma, Duryah, Hail (ii), Hawtat Bani Tamim, Hawtat Sudair, Hufayr, Huraymala, Jubbah, Khassirah, Layla (Al Aflaj), Marat, Mawquq, Mustajiddah, Muzahmiyah, Qubah, Rawdah, Rimah, Riyadh Al Kabra, Riyadh King Saud University, Riyadh Ministry of PTT, Ruwaydat Al Ard, Sajir, Samira, Shamli, Shaqra, Sulayil, Sulaymi, Thadiq, Thumair, Turabah, Unayzah, Uqlat As Suqur, Uzaym, Wadi Dawasir (Kumasin), Zilfi. (i) Seasonal Opening. (ii) Main Telegraph Office. ","Via Riyadh (al): Le même indicateur de destination «SJRI» est utilisé pour les télégrammes acheminés via Riyadh (al) et destinés aux bureaux suivants: Ad Dawadmi, Ad Dilam, Afif, Al Artawiyah, Al Asyah (Ayn Bin Fuhayd), Al Bukayriyah, Al Diriyah, Al Ghat, Al Hariq, Al Hayit, Al Khabra, Al Kharj, Al Majmaah, Al Mudhnab, Al Quwayiah, Al Ulaya, Ar Rass, Ar Rayn, Baqaa Al Lowaimi, Buraydah (Qasim), Durma, Duryah, Hail (ii), Hawtat Bani Tamim, Hawtat Sudair, Hufayr, Huraymala, Jubbah, Khassirah, Layla (Al Aflaj), Marat, Mawquq, Mustajiddah, Muzahmiyah, Qubah, Rawdah, Rimah, Riyadh Al Kabra, Riyadh King Saud University, Riyadh Ministry of PTT, Ruwaydat Al Ard, Sajir, Samira, Shamli, Shaqra, Sulayil, Sulaymi, Thadiq, Thumair, Turabah, Unayzah, Uqlat As Suqur, Uzaym, Wadi Dawasir (Kumasin), Zilfi. (i) Ouverture saisonnière. (ii) Bureau télégraphique principal.","Via Riyadh (al): El mismo indicador de destino ""SJRI"" se utiliza para los telegramas encaminados via Riyadh (al) y destinados a las oficinas siguientes: Ad Dawadmi, Ad Dilam, Afif, Al Artawiyah, Al Asyah (Ayn Bin Fuhayd), Al Bukayriyah, Al Diriyah, Al Ghat, Al Hariq, Al Hayit, Al Khabra, Al Kharj, Al Majmaah, Al Mudhnab, Al Quwayiah, Al Ulaya, Ar Rass, Ar Rayn, Baqaa Al Lowaimi, Buraydah (Qasim), Durma, Duryah, Hail (ii), Hawtat Bani Tamim, Hawtat Sudair, Hufayr, Huraymala, Jubbah, Khassirah, Layla (Al Aflaj), Marat, Mawquq, Mustajiddah, Muzahmiyah, Qubah, Rawdah, Rimah, Riyadh Al Kabra, Riyadh King Saud University, Riyadh Ministry of PTT, Ruwaydat Al Ard, Sajir, Samira, Shamli, Shaqra, Sulayil, Sulaymi, Thadiq, Thumair, Turabah, Unayzah, Uqlat As Suqur, Uzaym, Wadi Dawasir (Kumasin), Zilfi. (i)  Apertura estacional. (ii) Oficina telegráfica principal.",
ARABIE SAOUDITE ,SAUDI ARABIA ,ARABIA SAUDITA,,,,,,,"GOVT – Ministry of Communications and Information Technology, Riyadh",,,,SJ - -,,,,All others,Tous les autres,Todos los otros,SJOX,,,,
ARGENTINE,ARGENTINA,ARGENTINA,,,,,,,Unrouted,,,,AQ- -,,,,,,,,,,,
ARGENTINE,ARGENTINA,ARGENTINA,,,,,,,"CNT – Comisión Nacional de  Comunicaciones, Buenos Aires",,,,AR- -,,,,,,,,,,,
ARGENTINE,ARGENTINA,ARGENTINA,,,,,,,"Correo argentino S.A. (Correo Oficial de la República Argentina), Buenos Aires",,,,AE- -,,,,,,,,,,,
ARGENTINE,ARGENTINA,ARGENTINA,,,,,,,"Correo argentino S.A. (Correo Oficial de la República Argentina), Buenos Aires",,,,AE- -,,,,Buenos Aires,Buenos Aires,Buenos Aires,--BA,,,,
ARGENTINE,ARGENTINA,ARGENTINA,,,,,,,"Correo argentino S.A. (Correo Oficial de la República Argentina), Buenos Aires",,,,AE- -,,,,All others,Todos los otros,Tous les autres,--BX,,,,
ARMÉNIE ,ARMENIA ,ARMENIA,,,,,,,"GOVT- Ministry of Transport and Communications, Yerevan",,,,AM - -1),1) Allocated but not yet implemented. Date of implementation subject to further announcement.,"1) Attribué, mais pas encore mis en oeuvre. La date de mise en oeuvre fera l'objet d'une annonce ultérieure.","1) Atribuído, pero no aplicado. Oportunamente se comunicará la fecha de aplicación.",,,,,,,,
ARUBA,ARUBA,ARUBA,,,,,,,"SETAR – Servicio di Telecomunicacion di Aruba, Oranjestad",,,,AW- -,,,,,,,,,,,
ARUBA,ARUBA,ARUBA,,,,,,,"SETAR – Servicio di Telecomunicacion di Aruba, Oranjestad",,,,AW- -,,,,Oranjestad,Oranjestad,Oranjestad,AWOS,,,,
ARUBA,ARUBA,ARUBA,,,,,,,"SETAR – Servicio di Telecomunicacion di Aruba, Oranjestad",,,,AW- -,,,,S Nicolas Aruba,S Nicolas Aruba,S Nicolas Aruba,AWSN,,,,
