1a,1b,2,3,4a,4b,4c
,Edfo Balad,+20 97 4714399,3,N,N,N
,El Mansoura (main),+20 50 2331911,3,N,N,N
,Al Zagazig(main) ,+20 55 2364628,3,N,N,N
,Dammietta(main),+20 57 340523,3,N,N,N
,Kafr Eldawar Balad,+20 45 2222414,3,N,N,N
,Karf el Sheikh Exchange,+20 47 325000,3,N,N,N
,Desook Exchange,+20 47 2551142,3,N,N,N
,Seedy Salem,+20 47 2700410,3,N,N,N
,kaleen,+20 47 3400300,3,N,N,N
,Al Agamy Hanoveel,+20 3 4352124,3,N,N,N
,Marina*,+20 3 4060871,3,N,N,N
,Mersa Matrooh,+20 64 4931331,3,N,N,N
,El Saloom,+20 64 4801496,3,N,N,N
,Sewa,+20 64 4600006,3,N,N,N
,Kabinet Tanta El balad,+20 40 3349047,3,N,N,N
,El mahala Exchange,+20 40 2243520,3,N,N,N
,El Mesala,+20 3 4850997 +20 3 4873136,3,N,N,N
,Al Gomhoria,+20 3 4952321,3,N,N,N
,El Dekhila,+20 3 2200411,3,N,N,N
,Sedi Gaber Exchange,+20 3 5457611,3,N,N,N
,El Tabia Sedi Bishr,+20 3 3589200,3,N,N,N
,Al Haramain,+20 3 3241739,3,N,N,N
,Shate El Maamora,+20 3 5475133,3,N,N,N
,Koliyet eltarbia Abou queer,+20 3 5634246,3,N,N,N
,Al acadimia Abou queer,+20 3 5611126,3,N,N,N
